	log2FC	p
 D-Glucose	-1.153392853	0.204149947
 Glucose 6-phosphate	-0.15191735	0.758202913
 Fructose-6-phosphate 	-0.104703812	0.853928203
fructose-1,6-diphosphate	-0.678747253	0.467731494
 3-Phosphoglyceric acid 	-0.645396824	0.302028702
 Phosphoenolpyruvate 	-1.296234656	0.028700626
 Pyruvic acid 	-0.655356778	0.014176176
 L-Lactic acid 	0.134197827	0.638473171
 Citric acid 	-2.75307102	0.000464491
 cis-Aconitic acid	0.743625974	0.640569503
 Isocitric acid 	-1.378411079	0.000934911
 Succinic acid 	-0.247716174	0.250339276
 Fumaric acid 	0.523905962	0.009817395
 D-Malic acid 	1.25026886	0.00106924
 D-Ribose-5-phosphate	0.09872187	0.739941925
 Glycine 	2.531408402	2.01383E-07
 L-Alanine	0.671823862	0.003249119
 L-Valine	0.381666302	0.375313483
 L-Leucine	0.104562612	0.840108052
 L-Isoleucine	-0.140631404	0.677592921
 L-Proline	-0.306220136	0.522962681
 L-Phenylalanine	-1.291059145	0.000725069
 L-Tyrosine	-2.409118943	0.198257969
 L-Tyrosine	-1.727953337	0.009261609
 L-Serine	-1.586381622	0.002068238
 L-Threonine	-0.912029208	0.061126737
 L-Methionine	0.027651854	0.913699899
 L-Asparagine	1.527956789	0.291199426
 Glutamine	-3.606143465	0.069617291
 L-Aspartic acid	-0.905720556	0.073578166
 L-Glutamic acid	-1.847474531	0.006176247
 L-Lysine	-2.339682058	0.009792747
 Pyroglutamic acid 	-1.286888787	0.002127112
 Ornithine 	-6.167752811	0.003717814
 Beta-Alanine 	-0.726440317	0.031048917
 L-Threonine	-0.707271636	0.254417667
 Iminodiacetic acid	-0.754197941	0.073579226
 4-Hydroxyproline	-0.720983491	0.052250066
 D-Fructose	-0.258580883	0.694176085
 D-Mannose	0.259724069	0.528751418
 Sorbitol 	-0.565396395	0.0961254
 Ribitol 	-0.582814437	0.154562296
 Myoinositol 	-0.827590151	0.020149294
 Inositol phosphate	-0.890583348	0.047049759
 Sedoheptulose 7-phosphate 	-0.126899742	0.646662251
 alpha-D-Glucosamine 1-phosphate 	-5.328013215	0.00110819
 Galactonic acid	-0.680827535	0.201916847
 Cellobiose	0.702437738	0.225811115
 L-Sorbose	0.147406958	0.53984828
 D-Threitol 	-0.009849141	0.978178679
 Threonic acid 	0.442228534	0.186100128
 Nonanoic acid 	-0.757507619	0.018388527
 Capric acid 	-0.347790965	0.370673933
 Myristic acid 	-1.808595364	0.0003867
 Palmitoleic acid 	-0.484076667	0.140528515
 Palmitic acid 	-1.157122279	0.036839858
 Linoleic acid 	0.04215141	0.926745454
 Oleic acid 	-0.579501516	0.120349897
 Elaidic acid 	-1.140686994	0.022747632
 Stearic acid 	-1.400766161	0.033483734
 Arachidic acid 	-0.585111965	0.233718982
 Arachidonic Acid	0.31357033	0.770286434
 Malonic acid	0.04978782	0.925476537
 Unknown acid 	-0.731846598	0.119009999
 Heptadecanoic acid 	#DIV/0!	0.160824597
 1-Monomyristin	-0.745538558	0.019559531
 2-Monopalmitoylglycerol	2.04492709	0.105829636
 1-Palmitoylglycerol	-0.94052957	0.011856579
 2-Steroylglycerol	-3.119618622	0.251426921
 1-Steroylglycerol 	-0.839364953	0.004907979
 Glycerol 	0.080211139	0.872916612
 Glycerol 3-phosphate 	-1.108464151	0.013638528
 Beta-Glycerophosphoric acid 	#DIV/0!	0.340893132
 O-Phosphoethanolamine 	-0.866128606	0.097023127
 Ethanolamine 	-0.525066775	0.194988009
 Phosphate 	0.162687569	0.664264976
 Pyrophosphate 	-1.654776681	0.119295181
 Hypoxanthine	-2.367613614	0.000174657
 Adenosine 	-0.50883448	0.110734345
 Inosine 	-0.691864136	0.093759791
 Adenine 	-1.270148943	0.016201331
 Thymine 	3.172394986	0.353557696
 Adenosine monophosphate	-0.422247778	0.417220684
 Inosine 5'-monophosphate 	0.111847419	0.917099194
 Urea 	-2.38212282	0.000243182
 Glutathione 	-1.643386861	0.160681323
 L-Ascorbic acid 	-1.098583457	0.265444099
 Allantoin	0.744370264	0.397903114
 2-Hydroxyglutaric acid	1.945957464	0.096279641
 2-Hydroxybutyric acid 	-0.460757379	0.414096392
 Glycolic acid 	-0.373387233	0.071572775
 Putrescine 	-1.083924431	0.016151323
 Xanthurenic acid 	0.254509669	0.480534855
1,6-anhydro-Glucose	-0.213141941	0.45343992
 1-Octadecene 	-1.036396742	0.001374403
 2-Ketoisocaproic acid	-0.74877351	0.149932534
 Adipic acid 	-0.707294416	0.027113169
 Azelaic acid 	-0.725151174	0.023076327
 Benzoic acid 	-0.429686149	0.168428244
 Beta-Hydroxyisovaleric acid	-0.120526317	0.764504186
 Cystathionine 	-1.684803456	0.001043086
