	log2FC	p
 Eicosane 	-1.743393408	0.039159279
 Ergosterol 	1.423992467	0.081917545
 Ethanolamine	-0.320492968	0.208453059
 Glutamic acid 	-1.044327898	0.040464663
 Glyoxylic acid 	-0.35082125	0.282399787
 Guanine	-1.330356294	0.029401007
 Heptanoic acid	-0.495802691	0.091158385
 Homoserine	-1.123944423	0.128586491
 Lanosterol	-1.845181735	0.005824467
 Lauric Acid 	-0.800139543	0.064916941
 L-Gulonic acid gamma-lactone 	-0.919926067	0.28735908
 methyl-beta-D-Galactopyranoside 	-2.893626743	0.393648097
 Methylmalonic acid 	0.319942121	0.171827851
 N-acetyl-L-aspartic acid 1	-0.150063937	0.9065544
 N-acetyl-Lysine	-3.564260109	0.226756574
 Nicotinamide	0.164531753	0.51144282
 Nitrous Oxide 	-0.967135113	0.02309552
 Orotic acid	-3.248451183	0.008256309
 Phosphatidyl Glycerol	-0.195233077	0.8366641
 Pyrrolidonecarboxylic acid	-0.976570998	0.008273874
 Ribonic acid-gamma-lactone	-1.656549316	0.008654376
 Sophorose	#NUM!	0.168561155
 Sucrose 	-0.593370286	0.283365662
 Trehalose 	-1.671805998	0.0435123
 Turanose	-2.026052436	0.002173229
 Uracil 	0.083634501	0.601212225
