	000min_mct1_lfc	000min_mct1_bh	015min_mct1_lfc	015min_mct1_bh	030min_mct1_lfc	030min_mct1_bh	060min_mct1_lfc	060min_mct1_bh	180min_mct1_lfc	180min_mct1_bh
Trehalose	-0.056083667999999996	0.9650307370000001	-1.16336437	0.120927979	-1.6718059980000002	0.016732348	-2.001569881	0.038193662	1.085730917	0.070943756
Ribonic acid-gamma-lactone	0.18363324	0.564334917	-0.752187068	0.008915638	-1.656549316	0.004121789	-0.9256007409999999	0.0029401909999999996	0.8866448720000001	0.082521862
Linoleic acid	-0.683356018	0.07577523	-1.331832667	0.018806353	0.04215141	0.919589439	0.34184081299999997	0.550603039	-0.372554678	0.102737741
Palmitoleic acid	-0.7210897390000001	0.091421584	-0.940926473	0.042267619000000006	-0.484076667	0.072249754	-0.081260859	0.820878078	-0.235475317	0.138408912
cis-Aconitic acid	-0.246479185	0.7107095809999999	0.18960545	0.8664397840000001	0.7436259740000001	0.546830855	0.088305077	0.9325807209999999	-2.01520502	0.141327124
Phosphatidyl Glycerol	-0.228859544	0.43222208100000004	0.136243325	0.8770931190000001	-0.195233077	0.775486375	-3.6299725460000003	0.011922178	-1.2988298040000001	0.15524946
Iminodiacetic acid	-1.423809576	0.00414378	-0.22300182600000001	0.47777986899999997	-0.7541979409999999	0.03210504	-0.008519039	0.97535124	-0.509086469	0.16176913
1-Octadecene	-0.926886848	0.043212215	-0.6878954979999999	0.017792217	-1.036396742	4.49e-05	-0.479069226	0.082618033	-0.08713745699999999	0.17613865399999998
2-Hydroxybutyric acid	-0.666106189	0.079016495	0.132051179	0.590476525	-0.46075737899999997	0.319306226	0.009083886	0.9859074520000001	1.286051188	0.183489262
1,6-anhydro-Glucose	0.1649257	0.40437552600000004	0.339037411	0.054264294000000005	-0.213141941	0.36206818399999996	-0.370402325	0.11251859199999999	0.72941559	0.18694733100000002
1-Palmitoylglycerol	-1.302009572	0.005794331999999999	-0.09505652699999999	0.554922748	-0.94052957	0.001908785	-0.459976272	0.193165702	-0.324755626	0.206298454
Sucrose	0.700346586	0.327350687	0.43690534200000003	0.35469686799999994	-0.593370286	0.2032078	-1.143339795	0.050088812	0.6794575690000001	0.212584448
Myristic acid	-1.4820868630000001	0.0039770790000000006	-0.988540856	0.005464945	-1.808595364	3.3299999999999996e-05	-1.691037616	1.1289000000000002e-05	-0.271906298	0.21769232
Homoserine	0.125226404	0.67234721	-0.7241028759999999	0.030594122	-1.123944423	0.067501536	-2.111355231	0.019226212	0.931007822	0.221734225
Heptadecanoic acid	-3.63908562	0.15660144	0.0	0.26576887899999996	0.0	0.10830237699999999	-1.860874409	0.262073451	0.0	0.224948549
Sophorose	0.19098326899999998	0.7534323359999999	-2.902972684	0.141350687	0.0	0.11421252400000001	-1.335322098	0.26694591300000003	1.37536899	0.23727181100000003
Eicosane	-1.0906907959999999	0.014258904	-1.005895103	0.017037533	-1.7433934080000002	0.021523202999999998	-0.37272108200000004	0.47896913	1.105927079	0.24504053399999998
Nonanoic acid	-1.160383915	0.008489654000000001	0.11256905199999999	0.419766543	-0.7575076190000001	0.0033576870000000003	-0.18931245300000002	0.487704178	-0.354623501	0.25855695100000003
Ribitol	0.19252329199999998	0.194921932	-0.41612242200000005	0.13726682	-0.582814437	0.08520854	-0.686051307	0.10511706900000001	0.626174319	0.263319933
Ergosterol	-1.233377297	0.06346682	-1.829076584	0.022340969	1.423992467	0.044005157	0.7163675209999999	0.313417552	0.952599193	0.29230228399999997
D-Ribose-5-phosphate	0.284228313	0.48218527	-0.818661913	0.000117707	0.09872187	0.662171405	-0.075753536	0.754744002	0.6910327470000001	0.33479164699999997
Beta-Glycerophosphoric acid	-0.04921066	0.9044490059999999	0.8342001090000001	0.04503656599999999	0.0	0.259862904	1.649790422	0.434844021	-0.7811517790000001	0.35118099399999997
Nitrous Oxide	-1.2806358	0.034379217999999996	0.488224505	0.15353989699999998	-0.967135113	0.006221214	-0.239497795	0.538427113	-0.28411189600000003	0.368041151
Cellobiose	-2.162271966	0.015266931999999999	0.159681827	0.849988455	0.702437738	0.148901723	-0.762413447	0.24717308899999998	1.270286284	0.388378538
Capric acid	-0.971317199	0.049446072	0.040104624	0.820292784	-0.347790965	0.268514906	0.445666524	0.18322306	-0.025140753	0.406466127
Benzoic acid	-1.0571403190000002	0.02899481	0.07182504599999999	0.67858797	-0.42968614899999996	0.092042767	-0.27358016	0.232938925	-0.073426225	0.416042543
Heptanoic acid	-0.8551402020000001	0.028140093999999997	0.148492525	0.434519799	-0.495802691	0.037067032	0.324128359	0.396780136	-0.170440449	0.43285239799999997
1-Steroylglycerol	-1.056584877	0.007595534	-0.376791993	0.009855624	-0.839364953	0.000480065	-0.581974275	0.061995258	0.023399362000000003	0.481531584
Arachidic acid	-1.283719364	0.00656559	-1.616408775	0.001194692	-0.585111965	0.14443762400000001	-1.28914952	0.0036981590000000003	0.45283136399999996	0.505293985
Allantoin	1.028968225	0.068602729	1.002707529	0.074679089	0.7443702640000001	0.298485837	1.41143906	0.196628023	-0.179682525	0.511306536
Unknown acid	-0.545438591	0.061042414	0.704790385	0.011420147	-0.731846598	0.061985606	-0.985920826	0.221559888	-0.027491604	0.539465215
1-Monomyristin	-0.390843369	0.098846738	-0.245554491	0.22856059	-0.745538558	0.003777721	-0.36480748799999996	0.25678530899999996	0.079879953	0.6012824000000001
N-acetyl-L-aspartic acid 1	-1.055275515	0.127233787	-3.611769863	0.009272149	-0.15006393699999998	0.8697939	-1.106262873	0.146024811	-0.023913316	0.653870649
Beta-Hydroxyisovaleric acid	-1.233034357	0.10345166800000001	-0.21092049	0.487201046	-0.120526317	0.6971971859999999	-1.4942663580000002	0.0016304660000000001	0.037483055	0.691522973
2-Steroylglycerol	-1.0393604459999999	0.119502261	-0.046655469000000005	0.977895073	-3.119618622	0.184026081	-1.57698289	0.448210846	0.008838073	0.734843985
2-Monopalmitoylglycerol	0.601364365	0.27849915199999997	-1.3802963419999998	0.236320155	2.04492709	0.049006361	-2.0511982619999998	0.052216978	0.439476107	0.77914618
Lauric Acid	-1.231214497	0.0036074740000000003	-0.627478523	0.026341139	-0.800139543	0.025818641	0.014866003999999999	0.923004755	0.196716931	0.81441692
L-Sorbose	0.314372834	0.332000182	0.029666038	0.8991864509999999	0.147406958	0.44971851799999996	-0.24734010899999997	0.340438025	0.375839962	0.825641197
Adipic acid	-0.368377235	0.15264588	-0.709454274	0.12778826199999999	-0.707294416	0.01313469	0.126147562	0.618342619	0.288210068	0.927921607
Beta-Alanine	-0.474984091	0.035613339	-0.380824072	0.076590398	-0.726440317	0.015848047	-0.475152002	0.10897822800000001	0.27401147800000003	0.9475325040000001
