	000min_log2FC	000min_p	015min_log2FC	015min_p	030min_log2FC	030min_p	060min_log2FC	060min_p	180min_log2FC	180min_p
 Linoleic acid 	-0.683356018	0.134229116	-1.331832667	0.038564779	0.04215141	0.926745454	0.341840813	0.632584951	-0.635589084	0.169538099
 Oleic acid 	-0.720251345	0.164561948	-0.995128339	0.059079576	-0.579501516	0.120349897	-0.219741609	0.631938106	-0.622354632	0.121569319
 Elaidic acid 	-0.415747219	0.512488543	-0.717527122	0.044728958	-1.140686994	0.022747632	-0.645277506	0.247539822	-0.580587733	0.221987625
 Stearic acid 	-1.50937854	0.055546324	-2.260735305	0.000652233	-1.400766161	0.033483734	-1.800630093	0.019689437	0.637401864	0.244665722
 Arachidic acid 	-1.283719364	0.013326926	-1.616408775	0.003057358	-0.585111965	0.233718982	-1.28914952	0.018173189	0.189796958	0.619698346
 Arachidonic Acid	0.036307014	0.970803555	-1.514004853	0.204839749	0.31357033	0.770286434	-0.196985326	0.83924594	0.000599703	0.999571164
 Malonic acid	0.149937263	0.776003279	-0.034175658	0.953301185	0.04978782	0.925476537	0.130919478	0.845250839	1.62426793	0.000326811
 Unknown acid 	-0.545438591	0.099067981	0.704790385	0.024206688	-0.731846598	0.119009999	-0.985920826	0.298948097	-0.29052601	0.649381333
 Heptadecanoic acid 	-3.63908562	0.202278043	0	0.340893132	0	0.160824597	-1.860874409	0.350594476	0	0.296665037
 1-Monomyristin	-0.390843369	0.158225263	-0.245554491	0.31945844	-0.745538558	0.019559531	-0.364807488	0.352960065	-0.183154452	0.687325196
 2-Monopalmitoylglycerol	0.601364365	0.366205493	-1.380296342	0.311489148	2.04492709	0.105829636	-2.051198262	0.096903673	0.176441701	0.83394726
 1-Palmitoylglycerol	-1.302009572	0.011135597	-0.095056527	0.654837247	-0.94052957	0.011856579	-0.459976272	0.277180675	-0.587790032	0.338431491
 2-Steroylglycerol	-1.039360446	0.18806894	-0.046655469	0.977749481	-3.119618622	0.251426921	-1.57698289	0.542600362	-0.254196332	0.785689825
 1-Steroylglycerol 	-1.056584877	0.016357335	-0.376791993	0.029633346	-0.839364953	0.004907979	-0.581974275	0.125396861	-0.239635044	0.591187398
 Glycerol 	-1.347435078	0.191047647	0.729108691	0.116695654	0.080211139	0.872916612	-0.328032618	0.475398902	-0.685475168	0.066368197
 Glycerol 3-phosphate 	-0.006990624	0.975724809	-0.955653301	0.001393874	-1.108464151	0.013638528	-1.387180354	0.000806615	0.367857126	0.316403563
 Beta-Glycerophosphoric acid 	-0.04921066	0.934846541	0.834200109	0.086687917	0	0.340893132	1.649790422	0.53086935	-1.044186185	0.449624115
 O-Phosphoethanolamine 	-1.155758478	0.010310531	-1.329252394	0.016102095	-0.866128606	0.097023127	-1.249233813	0.02505444	-1.207266692	0.079010806
 Ethanolamine 	-1.335518045	0.035066619	0.248956523	0.259974738	-0.525066775	0.194988009	-1.077594355	0.033376685	-0.935080368	0.160752071
 Phosphate 	-0.407619863	0.092595654	0.071753094	0.745743303	0.162687569	0.664264976	-0.457819983	0.113419637	0.26797328	0.603113392
 Pyrophosphate 	-0.473603709	0.543014534	-0.208993333	0.793530096	-1.654776681	0.119295181	-3.718125371	0.131564571	0.430953891	0.723720308
 Hypoxanthine	-2.095733694	0.009821524	-1.730765205	0.014175801	-2.367613614	0.000174657	-1.944606316	0.024274054	-1.412338082	0.105258283
 Adenosine 	-0.07449742	0.844218309	-0.745299971	0.618634006	-0.50883448	0.110734345	-2.432155395	0.171491797	0.473361409	0.611034301
 Inosine 	-1.295998632	0.001401342	0.343267149	0.369593872	-0.691864136	0.093759791	-1.339607625	0.050482515	0.046495017	0.925003152
 Adenine 	-1.898401034	0.000145446	-1.366494784	0.000176715	-1.270148943	0.016201331	-2.203009878	8.74E-05	-1.604770342	0.040208437
 Thymine 	-0.719164516	0.002639972	-0.370600406	0.095429236	3.172394986	0.353557696	-0.203376585	0.463859523	-1.17964144	0.042153058
 Adenosine monophosphate	-0.061948355	0.914554336	-0.7924329	0.13710345	-0.422247778	0.417220684	-1.872429297	0.031589796	0.878363254	0.172222405
 Inosine 5'-monophosphate 	-2.427986852	0.008336919	-0.910808583	0.214405499	0.111847419	0.917099194	-2.84122644	0.030335112	-1.672136441	0.148426658
 Urea 	-3.238686904	0.000124878	-2.227276109	0.002076908	-2.38212282	0.000243182	-3.352481723	4.00E-05	-2.036204116	1.69E-05
 Glutathione 	-0.047879701	0.959456238	-1.036427405	0.174535731	-1.643386861	0.160681323	-3.447576063	0.215594414	1.570165223	0.19818251
 L-Ascorbic acid 	-1.171336627	0.036236191	1.249228281	0.28957723	-1.098583457	0.265444099	-2.053623938	0.022678875	2.289513999	0.196323103
 Allantoin	1.028968225	0.123955584	1.002707529	0.131716373	0.744370264	0.397903114	1.41143906	0.280532778	-0.442716931	0.58812519
 2-Hydroxyglutaric acid	2.388661515	0.003624815	3.246433625	0.001657774	1.945957464	0.096279641	0.941468416	0.171961672	2.170317732	0.060739515
 2-Hydroxybutyric acid 	-0.666106189	0.120298959	0.132051179	0.684558702	-0.460757379	0.414096392	0.009083886	0.985876013	1.023016782	0.357320023
 Glycolic acid 	-0.447318649	0.012734518	-0.030684684	0.770925582	-0.373387233	0.071572775	-0.187114247	0.270186653	0.392981336	0.107776572
 Putrescine 	-1.981283414	4.54E-05	-1.584532967	0.002352245	-1.083924431	0.016151323	-1.957931794	0.002737931	-2.744032673	3.92E-06
 Xanthurenic acid 	0.905991059	0.208770124	0.314670856	0.417453914	0.254509669	0.480534855	0.026249977	0.941777236	1.693599788	0.014624346
" 1,6-anhydro-Glucose "	0.1649257	0.486906957	0.339037411	0.109219016	-0.213141941	0.45343992	-0.370402325	0.175729124	0.466381184	0.357066829
 1-Octadecene 	-0.926886848	0.071287802	-0.687895498	0.043010074	-1.036396742	0.001374403	-0.479069226	0.148974652	-0.350171863	0.311924827
 2-Ketoisocaproic acid	-1.146505228	0.081622248	0.459213272	0.23201027	-0.74877351	0.149932534	-0.697632267	0.151325852	0.616181901	0.487196775
 Adipic acid 	-0.368377235	0.219806257	-0.709454274	0.194295503	-0.707294416	0.027113169	0.126147562	0.689873386	0.025175662	0.942579899
 Azelaic acid 	-1.040391055	0.011833515	-0.419951983	0.18029872	-0.725151174	0.023076327	-0.579689604	0.089873226	-0.446157418	0.132579697
 Benzoic acid 	-1.057140319	0.045930696	0.071825046	0.751803836	-0.429686149	0.168428244	-0.27358016	0.327181565	-0.336460631	0.542629374
 Beta-Hydroxyisovaleric acid	-1.233034357	0.141261033	-0.21092049	0.595602611	-0.120526317	0.764504186	-1.494266358	0.007584246	-0.225551351	0.739916863
 Cystathionine 	0.247011826	0.756462489	0.069394266	0.882988532	-1.684803456	0.001043086	-1.983211236	0.01929916	-0.52697911	0.657851749
 Eicosane 	-1.090690796	0.031734611	-1.005895103	0.032006377	-1.743393408	0.039159279	-0.372721082	0.57408214	0.842892673	0.417260572
 Ergosterol 	-1.233377297	0.110359367	-1.829076584	0.036576394	1.423992467	0.081917545	0.716367521	0.407614058	0.689564787	0.450906917
 Ethanolamine	-0.812571566	0.047806074	0.260990842	0.181544545	-0.320492968	0.208453059	0.069147789	0.805369817	-0.730832417	0.18777294
 Glutamic acid 	-1.042471632	0.109246735	-1.403536343	0.021525747	-1.044327898	0.040464663	-0.50585221	0.270262575	-1.422771682	0.040411824
 Glyoxylic acid 	-0.86636685	0.069624956	0.11372215	0.666034314	-0.35082125	0.282399787	-0.120534753	0.560711945	0.523860349	0.467404465
 Guanine	-1.037307753	0.006441939	-1.812506164	0.208042486	-1.330356294	0.029401007	-3.273070507	0.093090144	-0.570502664	0.492122778
 Heptanoic acid	-0.855140202	0.051503035	0.148492525	0.545311828	-0.495802691	0.091158385	0.324128359	0.495299383	-0.433474855	0.541533151
 Homoserine	0.125226404	0.735900236	-0.724102876	0.057301503	-1.123944423	0.128586491	-2.111355231	0.032694817	0.667973416	0.387904978
 Lanosterol	-2.641543437	0.028237531	-2.191968976	0.002821894	-1.845181735	0.005824467	-2.126395924	0.004713012	-0.91436977	0.053053012
 Lauric Acid 	-1.231214497	0.012172924	-0.627478523	0.057055192	-0.800139543	0.064916941	0.014866004	0.945913314	-0.066317475	0.850322367
 L-Gulonic acid gamma-lactone 	-0.938565766	0.186498007	1.734301335	0.096092518	-0.919926067	0.28735908	-1.741655662	0.133704397	1.854154213	0.117682852
 methyl-beta-D-Galactopyranoside 	-0.703568327	0.31101683	-2.870397935	0.043607956	-2.893626743	0.393648097	-4.285289341	0.014256298	-2.084706027	0.066823057
 Methylmalonic acid 	0.886017803	0.014302831	0.165335621	0.511598221	0.319942121	0.171827851	1.393379481	0.000163569	1.53336864	2.38E-05
 N-acetyl-L-aspartic acid 1	-1.055275515	0.18816088	-3.611769863	0.014704816	-0.150063937	0.9065544	-1.106262873	0.235342731	-0.286947722	0.729672542
 N-acetyl-Lysine	-1.937763615	0.101026735	-2.546848505	0.025014845	-3.564260109	0.226756574	-3.379466002	0.212117927	-2.908021419	0.093263623
 Nicotinamide	-0.374708991	0.422199779	-0.483004581	0.134942884	0.164531753	0.51144282	0.114123479	0.70407996	-0.496304279	0.179845949
 Nitrous Oxide 	-1.2806358	0.051203039	0.488224505	0.224119942	-0.967135113	0.02309552	-0.239497795	0.624316603	-0.547146302	0.497755232
 Orotic acid	-3.96860657	0.000248079	-2.932519745	0.000210354	-3.248451183	0.008256309	-4.284137244	7.11E-05	-4.570352272	0.003388199
 Phosphatidyl Glycerol	-0.228859544	0.521111344	0.136243325	0.898814993	-0.195233077	0.8366641	-3.629972546	0.021531221	-1.56186421	0.280566512
 Pyrrolidonecarboxylic acid	1.219234854	0.175528375	-0.145685525	0.758357929	-0.976570998	0.008273874	-1.38088525	0.016168973	0.977493976	0.297897563
 Ribonic acid-gamma-lactone	0.18363324	0.628337432	-0.752187068	0.016777858	-1.656549316	0.008654376	-0.925600741	0.006586372	0.623610466	0.216229131
 Sophorose	0.190983269	0.798147062	-2.902972684	0.196434068	0	0.168561155	-1.335322098	0.359251807	1.112334585	0.403043459
 Sucrose 	0.700346586	0.409410013	0.436905342	0.461456494	-0.593370286	0.283365662	-1.143339795	0.095644343	0.416423163	0.389794875
 Trehalose 	-0.056083668	0.972816705	-1.16336437	0.197812455	-1.671805998	0.0435123	-2.001569881	0.071400124	0.822696511	0.202829909
 Turanose	0.561207334	0.235899743	-1.222047355	0.490384361	-2.026052436	0.002173229	-2.71297743	0.000380503	0.896542741	0.146033677
 Uracil 	0.71675396	0.089282803	0.465185368	0.043339348	0.083634501	0.601212225	0.569890507	0.017411746	-0.214179435	0.662356254
