	log2FC	p
 Adenosine monophosphate	-0.7924329	0.13710345
 Inosine 5'-monophosphate 	-0.910808583	0.214405499
 Urea 	-2.227276109	0.002076908
 Glutathione 	-1.036427405	0.174535731
 L-Ascorbic acid 	1.249228281	0.28957723
 Allantoin	1.002707529	0.131716373
 2-Hydroxyglutaric acid	3.246433625	0.001657774
 2-Hydroxybutyric acid 	0.132051179	0.684558702
 Glycolic acid 	-0.030684684	0.770925582
 Putrescine 	-1.584532967	0.002352245
 Xanthurenic acid 	0.314670856	0.417453914
" 1,6-anhydro-Glucose "	0.339037411	0.109219016
 1-Octadecene 	-0.687895498	0.043010074
 2-Ketoisocaproic acid	0.459213272	0.23201027
 Adipic acid 	-0.709454274	0.194295503
 Azelaic acid 	-0.419951983	0.18029872
 Benzoic acid 	0.071825046	0.751803836
 Beta-Hydroxyisovaleric acid	-0.21092049	0.595602611
 Cystathionine 	0.069394266	0.882988532
 Eicosane 	-1.005895103	0.032006377
 Ergosterol 	-1.829076584	0.036576394
 Ethanolamine	0.260990842	0.181544545
 Glutamic acid 	-1.403536343	0.021525747
 Glyoxylic acid 	0.11372215	0.666034314
 Guanine	-1.812506164	0.208042486
 Heptanoic acid	0.148492525	0.545311828
 Homoserine	-0.724102876	0.057301503
 Lanosterol	-2.191968976	0.002821894
 Lauric Acid 	-0.627478523	0.057055192
 L-Gulonic acid gamma-lactone 	1.734301335	0.096092518
 methyl-beta-D-Galactopyranoside 	-2.870397935	0.043607956
 Methylmalonic acid 	0.165335621	0.511598221
 N-acetyl-L-aspartic acid 1	-3.611769863	0.014704816
 N-acetyl-Lysine	-2.546848505	0.025014845
 Nicotinamide	-0.483004581	0.134942884
 Nitrous Oxide 	0.488224505	0.224119942
 Orotic acid	-2.932519745	0.000210354
 Phosphatidyl Glycerol	0.136243325	0.898814993
 Pyrrolidonecarboxylic acid	-0.145685525	0.758357929
 Ribonic acid-gamma-lactone	-0.752187068	0.016777858
 Sophorose	-2.902972684	0.196434068
 Sucrose 	0.436905342	0.461456494
 Trehalose 	-1.16336437	0.197812455
 Turanose	-1.222047355	0.490384361
 Uracil 	0.465185368	0.043339348
