	log2FC	p
 D-Glucose	1.53766345	0.134765548
 Glucose 6-phosphate	-0.497647756	0.263242021
 Fructose-6-phosphate 	-0.975317718	0.037487081
" fructose-1,6-diphosphate"	-0.576382163	0.243981558
 3-Phosphoglyceric acid 	-1.67109428	0.033769351
 Phosphoenolpyruvate 	-1.019296852	0.137091025
 Pyruvic acid 	-0.515642749	0.506055901
 L-Lactic acid 	0.417014075	0.089489001
 Citric acid 	-1.753735688	0.009216426
 cis-Aconitic acid	0.18960545	0.895403067
 Isocitric acid 	-0.700641654	0.082686721
 Succinic acid 	0.057902876	0.747127717
 Fumaric acid 	1.003675362	5.14491E-05
 D-Malic acid 	2.606714394	4.72017E-06
 D-Ribose-5-phosphate	-0.818661913	0.000970366
 Glycine 	2.579773967	5.29467E-09
 L-Alanine	0.778040189	3.30811E-05
 L-Valine	0.446689955	0.004464117
 L-Leucine	-0.072617733	0.727692219
 L-Isoleucine	0.389173451	0.014369253
 L-Proline	-0.045521336	0.835242929
 L-Phenylalanine	-1.375309629	0.003123336
 L-Tyrosine	-1.378420855	0.072235356
 L-Tyrosine	-2.963225045	0.000918537
 L-Serine	-0.957157697	0.000965899
 L-Threonine	-1.243882721	0.00340378
 L-Methionine	0.085340985	0.747771416
 L-Asparagine	-0.214872775	0.814906578
 Glutamine	-2.261819034	0.018979826
 L-Aspartic acid	-1.826463747	0.001796015
 L-Glutamic acid	-2.579003958	0.003584769
 L-Lysine	-5.331116718	0.008862086
 Pyroglutamic acid 	-0.609157416	0.000472636
 Ornithine 	-8.078420621	0.004731002
 Beta-Alanine 	-0.380824072	0.135693368
 L-Threonine	-0.928547049	0.000498563
 Iminodiacetic acid	-0.223001826	0.592630427
 4-Hydroxyproline	-0.093071097	0.619427521
 D-Fructose	0.735429273	0.016547035
 D-Mannose	0.557460496	0.059344047
 Sorbitol 	-0.485853106	0.080381599
 Ribitol 	-0.416122422	0.202550594
 Myoinositol 	-0.693214791	0.002791753
 Inositol phosphate	-1.381212534	0.006907213
 Sedoheptulose 7-phosphate 	-0.505572202	0.018131163
 alpha-D-Glucosamine 1-phosphate 	-5.348503448	0.000271138
 Galactonic acid	-1.480724977	0.000694188
 Cellobiose	0.159681827	0.885719414
 L-Sorbose	0.029666038	0.913048848
 D-Threitol 	-0.360216551	0.30190403
 Threonic acid 	-0.085277559	0.623637884
 Nonanoic acid 	0.112569052	0.532275067
 Capric acid 	0.040104624	0.869743008
 Myristic acid 	-0.988540856	0.012148712
 Palmitoleic acid 	-0.940926473	0.070714782
 Palmitic acid 	-2.179240009	2.90443E-05
 Linoleic acid 	-1.331832667	0.038564779
 Oleic acid 	-0.995128339	0.059079576
 Elaidic acid 	-0.717527122	0.044728958
 Stearic acid 	-2.260735305	0.000652233
 Arachidic acid 	-1.616408775	0.003057358
 Arachidonic Acid	-1.514004853	0.204839749
 Malonic acid	-0.034175658	0.953301185
 Unknown acid 	0.704790385	0.024206688
 Heptadecanoic acid 	#DIV/0!	0.340893132
 1-Monomyristin	-0.245554491	0.31945844
 2-Monopalmitoylglycerol	-1.380296342	0.311489148
 1-Palmitoylglycerol	-0.095056527	0.654837247
 2-Steroylglycerol	-0.046655469	0.977749481
 1-Steroylglycerol 	-0.376791993	0.029633346
 Glycerol 	0.729108691	0.116695654
 Glycerol 3-phosphate 	-0.955653301	0.001393874
 Beta-Glycerophosphoric acid 	0.834200109	0.086687917
 O-Phosphoethanolamine 	-1.329252394	0.016102095
 Ethanolamine 	0.248956523	0.259974738
 Phosphate 	0.071753094	0.745743303
 Pyrophosphate 	-0.208993333	0.793530096
 Hypoxanthine	-1.730765205	0.014175801
 Adenosine 	-0.745299971	0.618634006
 Inosine 	0.343267149	0.369593872
 Adenine 	-1.366494784	0.000176715
 Thymine 	-0.370600406	0.095429236
