	log2FC	p
 D-Glucose	-1.212184779	0.042921185
 Glucose 6-phosphate	-0.14987541	0.557913076
 Fructose-6-phosphate 	0.187465355	0.581672077
" fructose-1,6-diphosphate"	-0.225557267	0.627596723
 3-Phosphoglyceric acid 	-1.119676775	0.001194118
 Phosphoenolpyruvate 	-0.763107235	0.040284035
 Pyruvic acid 	-1.091087055	0.000466752
 L-Lactic acid 	-0.467199485	0.304181277
 Citric acid 	0.183446037	0.512611926
 cis-Aconitic acid	-0.246479185	0.766657242
 Isocitric acid 	0.658466951	0.169910648
 Succinic acid 	-0.058933589	0.704727092
 Fumaric acid 	2.588709849	1.45699E-06
 D-Malic acid 	2.728950429	2.1681E-08
 D-Ribose-5-phosphate	0.284228313	0.558587749
 Glycine 	2.002589931	0.000118873
 L-Alanine	2.322251455	2.52433E-10
 L-Valine	1.236272279	0.003325252
 L-Leucine	-0.715091796	0.056301446
 L-Isoleucine	1.063415577	0.005659136
 L-Proline	-0.380087047	0.067295958
 L-Phenylalanine	-0.56267113	0.062107823
 L-Tyrosine	-1.092758572	0.210841034
 L-Tyrosine	-2.309293197	0.001048444
 L-Serine	-0.083889037	0.622458504
 L-Threonine	-0.928191558	0.12496416
 L-Methionine	0.32951015	0.410078424
 L-Asparagine	-0.599920991	0.148421231
 Glutamine	-0.937262431	0.207661801
 L-Aspartic acid	0.850815348	0.027771358
 L-Glutamic acid	-0.626056458	0.280118024
 L-Lysine	-2.473820035	0.007301469
 Pyroglutamic acid 	-0.468973056	0.002419385
 Ornithine 	-6.562107439	0.007354283
 Beta-Alanine 	-0.474984091	0.070353795
 L-Threonine	0.167947011	0.413834579
 Iminodiacetic acid	-1.423809576	0.009813366
 4-Hydroxyproline	-0.880296893	0.050509533
 D-Fructose	-0.193893154	0.479980824
 D-Mannose	0.339488019	0.2177054
 Sorbitol 	-0.796140354	5.5539E-06
 Ribitol 	0.192523292	0.266956996
 Myoinositol 	-0.525560336	0.137703313
 Inositol phosphate	-1.200714208	0.022599606
 Sedoheptulose 7-phosphate 	0.19487292	0.478889771
 alpha-D-Glucosamine 1-phosphate 	-4.465531738	0.002780156
 Galactonic acid	-1.370877625	0.031751218
 Cellobiose	-2.162271966	0.026709714
 L-Sorbose	0.314372834	0.418816266
 D-Threitol 	-0.40706238	0.005605142
 Threonic acid 	-0.382539465	0.100302793
 Nonanoic acid 	-1.160383915	0.015543305
 Capric acid 	-0.971317199	0.093005009
 Myristic acid 	-1.482086863	0.008354737
 Palmitoleic acid 	-0.721089739	0.141204151
 Palmitic acid 	-1.522073719	0.031827997
 Linoleic acid 	-0.683356018	0.134229116
 Oleic acid 	-0.720251345	0.164561948
 Elaidic acid 	-0.415747219	0.512488543
 Stearic acid 	-1.50937854	0.055546324
 Arachidic acid 	-1.283719364	0.013326926
 Arachidonic Acid	0.036307014	0.970803555
 Malonic acid	0.149937263	0.776003279
 Unknown acid 	-0.545438591	0.099067981
 Heptadecanoic acid 	-3.63908562	0.202278043
 1-Monomyristin	-0.390843369	0.158225263
 2-Monopalmitoylglycerol	0.601364365	0.366205493
 1-Palmitoylglycerol	-1.302009572	0.011135597
 2-Steroylglycerol	-1.039360446	0.18806894
 1-Steroylglycerol 	-1.056584877	0.016357335
 Glycerol 	-1.347435078	0.191047647
 Glycerol 3-phosphate 	-0.006990624	0.975724809
 Beta-Glycerophosphoric acid 	-0.04921066	0.934846541
 O-Phosphoethanolamine 	-1.155758478	0.010310531
 Ethanolamine 	-1.335518045	0.035066619
 Phosphate 	-0.407619863	0.092595654
 Pyrophosphate 	-0.473603709	0.543014534
 Hypoxanthine	-2.095733694	0.009821524
 Adenosine 	-0.07449742	0.844218309
 Inosine 	-1.295998632	0.001401342
 Adenine 	-1.898401034	0.000145446
 Thymine 	-0.719164516	0.002639972
 Adenosine monophosphate	-0.061948355	0.914554336
 Inosine 5'-monophosphate 	-2.427986852	0.008336919
 Urea 	-3.238686904	0.000124878
 Glutathione 	-0.047879701	0.959456238
 L-Ascorbic acid 	-1.171336627	0.036236191
 Allantoin	1.028968225	0.123955584
 2-Hydroxyglutaric acid	2.388661515	0.003624815
 2-Hydroxybutyric acid 	-0.666106189	0.120298959
 Glycolic acid 	-0.447318649	0.012734518
 Putrescine 	-1.981283414	4.53608E-05
 Xanthurenic acid 	0.905991059	0.208770124
" 1,6-anhydro-Glucose "	0.1649257	0.486906957
 1-Octadecene 	-0.926886848	0.071287802
 2-Ketoisocaproic acid	-1.146505228	0.081622248
 Adipic acid 	-0.368377235	0.219806257
 Azelaic acid 	-1.040391055	0.011833515
 Benzoic acid 	-1.057140319	0.045930696
 Beta-Hydroxyisovaleric acid	-1.233034357	0.141261033
 Cystathionine 	0.247011826	0.756462489
 Eicosane 	-1.090690796	0.031734611
 Ergosterol 	-1.233377297	0.110359367
 Ethanolamine	-0.812571566	0.047806074
 Glutamic acid 	-1.042471632	0.109246735
 Glyoxylic acid 	-0.86636685	0.069624956
 Guanine	-1.037307753	0.006441939
 Heptanoic acid	-0.855140202	0.051503035
 Homoserine	0.125226404	0.735900236
 Lanosterol	-2.641543437	0.028237531
 Lauric Acid 	-1.231214497	0.012172924
 L-Gulonic acid gamma-lactone 	-0.938565766	0.186498007
 methyl-beta-D-Galactopyranoside 	-0.703568327	0.31101683
 Methylmalonic acid 	0.886017803	0.014302831
 N-acetyl-L-aspartic acid 1	-1.055275515	0.18816088
 N-acetyl-Lysine	-1.937763615	0.101026735
 Nicotinamide	-0.374708991	0.422199779
 Nitrous Oxide 	-1.2806358	0.051203039
 Orotic acid	-3.96860657	0.000248079
