	log2FC	p
 D-Glucose	1.258626346	0.227169254
 Glucose 6-phosphate	-0.463154156	0.245316882
 Fructose-6-phosphate 	-0.189511051	0.690378035
" fructose-1,6-diphosphate"	0.939957237	0.240730979
 3-Phosphoglyceric acid 	-1.121284236	0.120145766
 Phosphoenolpyruvate 	-1.064306883	0.034629561
 Pyruvic acid 	-0.28298456	0.466886022
 L-Lactic acid 	0.285194307	0.539996355
 Citric acid 	-2.856939802	0.000536467
 cis-Aconitic acid	-2.278239425	0.212792819
 Isocitric acid 	0.509005348	0.324561756
 Succinic acid 	0.073554412	0.787593014
 Fumaric acid 	1.346106304	0.000109226
 D-Malic acid 	1.672830358	0.000774061
 D-Ribose-5-phosphate	0.427998341	0.498688346
 Glycine 	2.030915588	5.03069E-05
 L-Alanine	4.075082701	7.8463E-05
 L-Valine	2.126880439	6.58952E-05
 L-Leucine	0.54212959	0.209136544
 L-Isoleucine	1.732591022	0.003381059
 L-Proline	-0.357643803	0.361907411
 L-Phenylalanine	-0.327316988	0.257278022
 L-Tyrosine	-0.221467658	0.712487102
 L-Tyrosine	-2.159174086	0.016031348
 L-Serine	-0.522671905	0.09142852
 L-Threonine	-1.100012366	0.026634483
 L-Methionine	-0.23160971	0.216742617
 L-Asparagine	3.98188367	0.079388774
 Glutamine	-0.752484665	0.374555914
 L-Aspartic acid	0.935973888	0.059698071
 L-Glutamic acid	-1.37942861	0.017035837
 L-Lysine	-2.42584476	0.004273264
 Pyroglutamic acid 	-0.362456586	0.131484124
 Ornithine 	-6.245200352	0.005128027
 Beta-Alanine 	0.010977072	0.956488687
 L-Threonine	0.143620148	0.602771927
 Iminodiacetic acid	-0.772120875	0.284147436
 4-Hydroxyproline	-0.206479111	0.675101203
 D-Fructose	-0.169391727	0.740840539
 D-Mannose	0.333455646	0.560576473
 Sorbitol 	-0.642432566	0.089120809
 Ribitol 	0.363139913	0.435873722
 Myoinositol 	-0.066491274	0.765564397
 Inositol phosphate	0.059983502	0.870835201
 Sedoheptulose 7-phosphate 	0.194248193	0.577416888
 alpha-D-Glucosamine 1-phosphate 	-4.030540146	0.021492731
 Galactonic acid	0.913589121	0.133754356
 Cellobiose	1.007251878	0.54093873
 L-Sorbose	0.112805556	0.85925647
 D-Threitol 	1.092973783	0.127919239
 Threonic acid 	2.651792741	0.000352717
 Nonanoic acid 	-0.617657906	0.369937274
 Capric acid 	-0.288175159	0.529347595
 Myristic acid 	-0.534940704	0.351174027
 Palmitoleic acid 	-0.498509723	0.246022979
 Palmitic acid 	0.50133405	0.239738751
 Linoleic acid 	-0.635589084	0.169538099
 Oleic acid 	-0.622354632	0.121569319
 Elaidic acid 	-0.580587733	0.221987625
 Stearic acid 	0.637401864	0.244665722
 Arachidic acid 	0.189796958	0.619698346
 Arachidonic Acid	0.000599703	0.999571164
 Malonic acid	1.62426793	0.000326811
 Unknown acid 	-0.29052601	0.649381333
 Heptadecanoic acid 	#NUM!	0.296665037
 1-Monomyristin	-0.183154452	0.687325196
 2-Monopalmitoylglycerol	0.176441701	0.83394726
 1-Palmitoylglycerol	-0.587790032	0.338431491
 2-Steroylglycerol	-0.254196332	0.785689825
 1-Steroylglycerol 	-0.239635044	0.591187398
 Glycerol 	-0.685475168	0.066368197
 Glycerol 3-phosphate 	0.367857126	0.316403563
 Beta-Glycerophosphoric acid 	-1.044186185	0.449624115
 O-Phosphoethanolamine 	-1.207266692	0.079010806
 Ethanolamine 	-0.935080368	0.160752071
 Phosphate 	0.26797328	0.603113392
 Pyrophosphate 	0.430953891	0.723720308
 Hypoxanthine	-1.412338082	0.105258283
 Adenosine 	0.473361409	0.611034301
 Inosine 	0.046495017	0.925003152
 Adenine 	-1.604770342	0.040208437
 Thymine 	-1.17964144	0.042153058
 Adenosine monophosphate	0.878363254	0.172222405
 Inosine 5'-monophosphate 	-1.672136441	0.148426658
 Urea 	-2.036204116	1.69409E-05
 Glutathione 	1.570165223	0.19818251
 L-Ascorbic acid 	2.289513999	0.196323103
 Allantoin	-0.442716931	0.58812519
 2-Hydroxyglutaric acid	2.170317732	0.060739515
 2-Hydroxybutyric acid 	1.023016782	0.357320023
 Glycolic acid 	0.392981336	0.107776572
 Putrescine 	-2.744032673	3.92376E-06
 Xanthurenic acid 	1.693599788	0.014624346
" 1,6-anhydro-Glucose "	0.466381184	0.357066829
 1-Octadecene 	-0.350171863	0.311924827
 2-Ketoisocaproic acid	0.616181901	0.487196775
 Adipic acid 	0.025175662	0.942579899
 Azelaic acid 	-0.446157418	0.132579697
 Benzoic acid 	-0.336460631	0.542629374
 Beta-Hydroxyisovaleric acid	-0.225551351	0.739916863
 Cystathionine 	-0.52697911	0.657851749
 Eicosane 	0.842892673	0.417260572
 Ergosterol 	0.689564787	0.450906917
 Ethanolamine	-0.730832417	0.18777294
 Glutamic acid 	-1.422771682	0.040411824
 Glyoxylic acid 	0.523860349	0.467404465
 Guanine	-0.570502664	0.492122778
 Heptanoic acid	-0.433474855	0.541533151
 Homoserine	0.667973416	0.387904978
 Lanosterol	-0.91436977	0.053053012
 Lauric Acid 	-0.066317475	0.850322367
 L-Gulonic acid gamma-lactone 	1.854154213	0.117682852
 methyl-beta-D-Galactopyranoside 	-2.084706027	0.066823057
 Methylmalonic acid 	1.53336864	2.38328E-05
 N-acetyl-L-aspartic acid 1	-0.286947722	0.729672542
 N-acetyl-Lysine	-2.908021419	0.093263623
 Nicotinamide	-0.496304279	0.179845949
 Nitrous Oxide 	-0.547146302	0.497755232
 Orotic acid	-4.570352272	0.003388199
 Phosphatidyl Glycerol	-1.56186421	0.280566512
 Pyrrolidonecarboxylic acid	0.977493976	0.297897563
 Ribonic acid-gamma-lactone	0.623610466	0.216229131
 Sophorose	1.112334585	0.403043459
 Sucrose 	0.416423163	0.389794875
 Trehalose 	0.822696511	0.202829909
 Turanose	0.896542741	0.146033677
 Uracil 	-0.214179435	0.662356254
