,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
Itih4,44.9894,45.2441,35.0747,42.9874,25.1618,30.949,38.0028
Sertad4,110.405,127.431,107.47,117.045,159.294,163.314,101.547
Thada,2451.92,2673.17,2527.32,2674.06,2893.72,2819.43,3422.09
Ptprs,306.964,305.733,242.364,238.972,242.648,243.058,231.911
Usp36,1594.42,1592.47,1493.67,1565.45,1353.67,1297.24,1546.26
Cisd3,1108.24,1135.73,1217.01,1085.43,503.987,501.806,547.615
Mms22l,663.762,572.686,666.063,626.324,644.82,635.962,449.919
Kif16b,859.275,717.54,778.834,742.396,1045.76,1034.23,969.032
Uprt,510.612,601.246,492.557,598.903,692.087,607.37,720.568
Zcchc7,184.949,183.359,164.394,142.516,159.247,150.174,181.478
Akirin2,123.699,188.892,141.386,165.497,119.397,114.028,124.626
Tomm5,548.387,464.533,717.635,549.5,587.733,587.223,701.473
Nfx1,796.582,835.192,844.654,731.982,789.129,739.36,688.568
Usp24,3323.21,3546.75,3132.08,3245.46,2773.5,2853.51,1967.84
Tmem245,550.973,188.28,549.917,288.774,408.501,431.513,472.791
Thoc2,3045.66,1419.46,3538.13,2254.87,3812.54,3960.37,4533.45
Dlgap4,1104.46,1185.55,905.028,930.059,441.366,436.805,477.88
Cad,8653.37,9315.87,8971.21,9762.3,9477.11,9506.11,11206.4
Arhgap42,344.066,331.049,311.305,306.011,246.362,249.337,275.833
Ythdc2,868.276,664.482,974.342,806.202,1271.1,1315.74,790.244
Otud4,1388.87,1694.9,1557.06,1715.79,1314.95,1336.53,1142.95
Rrn3,460.836,535.644,386.223,442.784,343.227,334.121,362.526
Otud7b,2644.07,2939.91,2646.57,2723.82,2034.2,2021.55,2385.91
Zcchc24,390.297,461.622,488.77,537.083,497.749,531.843,506.719
Ep300,1840.84,1443.49,1961.43,1645.4,2084.04,2082.27,2435.22
Zcchc11,889.007,688.946,900.534,750.702,1012.3,1042.5,989.647
Cspp1,226.528,185.394,254.593,226.348,301.477,293.541,257.904
Trappc11,3093.75,2422.54,2696.84,2804.23,2455.56,2313.44,2160.89
Ankrd44,492.371,565.584,542.25,625.531,669.817,712.708,568.141
Plxnb2,6597.96,6838.24,6520.17,6639.56,7781.37,7887.07,6775.89
Dock5,1427.21,1211.1,1691.21,1431.42,1410.09,1343.14,1764.93
Rbm25,4322.03,5010.1,4674.76,5031.05,4215.92,4053.76,4052.68
Xpnpep3,1216.75,1197.76,1411.16,1215.28,1296.42,1248.77,1911.6
Kif7,1980.96,1917.79,1736.15,1791.91,1713.48,1539.39,1573.03
Qtrtd1,892.156,1042.79,918.821,1007.02,993.458,1050.46,1080.95
