,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
Lyst,356.977,340.967,353.026,341.609,391.279,365.791,386.764
Anxa4,3551.94,3908.57,2314.22,2657.46,3814.44,3537.5,2656.56
Nbr1,250.319,276.929,238.415,243.11,234.758,224.287,193.294
Mprip,3546.14,4089.53,3841.89,4110.85,4617.1,4523.72,4574.01
Slbp,247.523,286.847,321.708,349.984,311.696,306.412,327.698
Fhl1,2492.25,3269.67,1553.66,1783.49,1488.31,1451.09,783.644
Anpep,1039.06,1020.79,920.439,953.761,1302.62,1303.47,2344.19
Atp5j,475.467,276.243,334.639,356.759,267.97,307.225,272.829
Bop1,1640.53,1851.88,1707.84,1739.78,1484.37,1435.41,1485.27
Smad5,323.287,316.753,278.488,334.622,271.57,261.594,200.687
Mylpf,2915.02,3452.94,859.425,965.599,207.551,221.074,191.192
Rps5,737.036,715.668,560.525,895.32,711.376,946.013,950.286
Ext1,83.2144,70.7176,78.4479,65.9067,63.5235,57.6993,78.5028
Dok1,856.842,927.167,677.093,713.688,1312.02,1383.78,916.171
Pam,54.0762,56.1847,66.751,61.9832,57.9214,58.0558,48.1096
Ppp4c,946.069,1065.63,1163.47,1198.11,1006.42,829.286,1000.05
Smad4,460.833,566.634,468.507,538.327,509.554,547.09,318.208
Tarbp2,949.212,1072.76,958.587,1102.64,943.791,851.743,682.159
Pitx2,220.405,242.824,190.088,197.37,339.863,340.66,258.262
Aurka,904.737,650.544,792.315,697.689,769.933,893.491,889.337
Coq7,179.789,261.415,211.493,310.35,353.425,271.573,182.947
Eya3,204.447,186.09,204.472,241.289,116.466,129.069,115.886
Txn2,386.798,508.668,399.682,531.822,526.971,591.211,456.791
Gclc,1024.61,1031.58,1146.06,1103.85,1201.01,1186.09,1345.25
Smarcc1,4402.51,4811.8,4428.13,4782.47,3542.46,3301.63,2867.93
Tep1,324.204,328.449,350.282,342.181,353.108,345.873,456.267
Cpt1a,675.295,370.219,863.404,576.577,1347.6,1461.37,2099.34
rp9,148.3,163.522,181.618,177.201,174.782,180.002,202.274
Wbp2,163.085,196.164,181.839,207.685,198.661,186.807,131.487
Thumpd3,1803.08,1625.87,1273.88,1162.12,1896.18,2049.29,1782.15
Cry1,114.37,97.3796,110.439,104.562,114.232,132.522,128.931
Neo1,41.8869,49.9269,30.6282,36.9722,27.6189,24.4974,41.789
Smn1,696.585,692.483,651.396,670.72,527.191,525.461,610.285
Fh,3954.64,4954.78,4327.84,4739.33,5589.3,5415.96,5099.71
Cdr2,665.044,864.32,579.351,646.153,593.385,532.616,355.97
Anp32e,1430.77,1642.78,1576.65,1688.62,1180.92,1126.69,1116.1
Lypla1,544.912,655.38,540.306,627.616,665.947,626.964,425.78
Hn1,2532.68,2875.58,2236.51,2865.27,2212.19,2101.45,1168.1
G3bp1,3390.17,4006.32,3650.09,3764.42,3574.88,3679.43,3120.32
Nfib,32.6656,35.2833,34.2656,30.725,73.9508,84.4278,63.2323
Casp7,614.612,717.325,847.091,907.448,822.864,792.842,743.613
Pex7,203.189,260.214,237.881,262.806,297.655,273.425,234.137
Rbbp6,3376.56,3341.75,3442.39,3253.27,3584.86,3522.21,3747.46
Dtymk,873.23,1057.11,1027.8,1200.39,2093.71,1872.37,1417.92
Bmp1,517.634,538.996,494.863,483.444,343.783,364.37,406.496
Masp1,97.9755,112.211,121.976,125.56,141.047,128.596,119.766
Dab2,1908.18,2163.54,2511.83,2770.85,2831.93,2724.86,1938.49
Shc1,626.346,667.122,687.454,704.604,457.509,465.984,641.942
Vldlr,107.821,103.054,107.512,109.526,128.375,132.284,701.56
Gnpat,678.925,588.893,699.328,614.2,692.525,731.742,863.87
Atp9b,536.514,473.484,519.212,478.85,571.942,563.219,465.332
Atp11a,859.919,713.722,680.062,658.992,620.471,653.746,502.83
Arvcf,1094.33,1088.18,968.681,1037.83,591.422,576.861,401.273
Tubb5,3548.91,4024.39,3524.3,3759.7,2885.96,2731.79,2485.98
Gchfr,414.873,601.373,469.954,556.003,489.286,490.295,498.076
Psmb4,2197.14,2543.52,2230.04,2403.95,1980.2,1819.91,1450.15
Rplp2,2225.77,2054.06,2110.23,2596.94,2034.01,2171.97,1750.75
Uqcrh,54.8444,50.7753,65.8091,97.8211,60.4059,43.8055,53.8846
Prdx5,1993.14,2110.12,1988.33,1992.2,2831.47,2802.04,3148.19
Stx2,460.577,478.617,450.637,480.751,644.578,653.831,408.194
Gabpb1,21.6635,22.9224,19.2451,24.1829,22.0738,18.1119,17.0733
Gabpa,1472.69,1601.4,1545.55,1649.51,1642.96,1636.17,1410.05
Cpe,404.543,371.83,386.437,369.885,445.061,456.945,303.683
Hmmr,2179.75,2163.76,1974.76,1869.56,2633.61,2725.17,2629.13
F8a1,129.622,144.029,142.8,159.858,120.359,114.945,156.008
Il6st,459.096,421.697,428.527,380.824,486.91,489.942,406.123
Cd80,1636.45,1602.05,999.286,1139.59,426.741,427.069,401.124
G6pdx,2099.6,2468.64,2595.74,2824.87,4753.13,5340.16,3963.15
Apoa1,175.593,226.528,237.018,186.358,150.888,158.518,189.684
Yy1,1652.67,2064.82,1881.33,1918.47,1647.24,1651.44,1727.48
Axl,1109.39,1055.11,1169.65,1207.47,1897.95,2056.26,1299
Hnrnpul2,3063.22,3485.92,3014.97,3326.08,4278.77,4120.24,3283.86
Pde4d,1224.39,1296.75,1435.05,1513.59,1325.32,1331.59,1636.41
Creb1,197.577,240.857,219.21,251.264,229.354,204.961,164.204
Col1a2,3661.02,3664.22,4767.08,4786.76,8545.98,8157.98,4598.44
Hmgcr,30.2578,11.1515,42.9316,15.3449,56.8588,66.4235,50.7993
Egfr,31.8919,29.61,39.5389,36.4515,71.4255,86.4652,104.808
Top2a,8479.54,3318.86,8948.64,5418.19,10791.2,12169,13835.4
Adcy6,684.42,488.393,658.965,555.967,874.309,839.533,937.245
Sec23a,2411.67,2650.66,2268.48,2481.71,2457.69,2503.85,2418.73
Notch1,120.103,99.5858,99.0905,86.0407,72.4665,81.3832,27.458
Gas1,257.863,203.264,518.356,478.542,950.205,1427.04,1197.21
Rsu1,1352.97,1410.92,1278.28,1283.5,1320.44,1304.12,1462.27
Tcp11,116.584,84.5167,98.6674,92.9746,73.8218,64.9917,68.2069
Vcp,12424.9,14799.6,12335.4,14006.9,9477.49,9721.46,5779.03
Aqp1,717.691,621.494,567.04,554.744,694.565,690.127,342.975
Uba1,8673.86,10038.9,8679.99,9718.54,10807.1,10953,10101.1
Ctnnb1,4206.43,4040.98,3844.78,3796.5,3009.04,3000.98,3413.12
Jup,5152.37,4827.43,5252.69,5038.67,2192.9,2407.66,1612.64
Ank1,56.4508,31.4459,59.9993,40.1446,0,4.35678,5.85285
Sos2,238.117,180.575,259.723,222.37,215.407,205.579,287.436
DSG1,787.079,534.454,1343.87,1111.86,576.82,709.226,661.896
Zfp41,70.7435,79.2874,85.2381,86.7243,70.6264,75.3861,71.2208
Myh6,2013.91,1627,1422.28,1253.19,817.822,1005.55,827.402
Sap30bp,574.576,637.719,570.138,609.546,524.834,490.681,485.664
Col6a2,24.5871,7.75669,25.8222,28.0776,403.684,401.579,42.0747
Nucb1,1834,1339.21,1727.92,1960.7,2139.29,2178.96,2372.98
Mark3,2077.67,1354.19,2351.14,1767.63,1662.3,1743.66,2403.89
Epha2,5787.01,5392.19,4522.77,4464.25,4837.38,4894.07,5814.33
Cdk7,1209.48,741.816,1546.38,1172.76,1203.18,1205.61,1933.63
Enah,1266.87,1516.61,972.2,1168.77,1375.74,1281.29,1285.2
Atp5a1,7877.2,8696.57,8957.88,8389.14,8588.69,8498.67,6538.97
Runx1,1116.88,1424.16,1013.01,1126.67,900.325,949.561,722.204
Thbs2,598.186,600.954,1538.59,1590.31,507.962,489.997,419.762
Pfdn6,1046.04,1191.3,1044.64,1107.67,965.313,915.043,893.059
Eif2ak2,1682.44,1622.8,1697.66,1681.73,1717.06,1684.65,1964.21
Rela,590.749,676.26,588.681,649.673,551.155,557.971,469.029
Ckb,3221.1,3815.62,1832.64,2069.67,394.898,395.518,558.12
Smpd1,176.265,217.327,224.282,256.921,212.828,213.269,230.925
Nf1,1703.21,1640.18,1795.77,1803.3,1899.44,1877.35,1490.18
Smarcad1,1398.55,1394.94,1251.19,1282.56,1391.54,1380.02,1287.8
KRT17,809.997,599.392,769.991,1083.8,551.615,538.248,862.553
Cdk16,592.44,548.309,541.666,540.72,368.969,342.154,356.726
Yes1,154.085,165.484,166.615,145.852,132.106,151.905,186.547
Top1,6551.49,3770.68,7178.74,4742.56,5741.72,6026.62,9332.73
Col6a1,127.964,125.971,232.376,274.525,4148.58,4005.8,367.97
Sox9,861.68,931.307,815.724,927.82,566.045,532.812,349.881
Cdk18,835.082,931.043,805.72,857.153,539.686,535.207,527.341
Rcn1,3128.97,2988.07,3169.61,3184.2,3954.01,4359.11,4672.54
Mark2,147.506,123.828,157.223,132.416,162.939,171.381,172.06
Ptgs2,423.695,254.543,435.796,276.09,590.308,636.037,1709.46
Hspg2,6156.71,6914.97,5496.86,5963.07,3845.48,3849.22,1946.6
Fabp5,2442.79,3126.8,2552.33,2926.15,2639.52,2433.76,1202.1
Fmn1,630.987,449.216,839.169,689.609,877.413,933.201,1263.25
Ptprg,27.2305,29.6509,30.1243,33.5887,24.551,35.3107,38.6287
Pc,918.423,959.51,1004.51,926.591,2130.08,2242.62,2163.22
Mex3c,264.464,282.736,262.343,258.818,178.341,173.643,176.413
Drp2,119.699,121.231,134.867,132.822,120.505,122.534,127.055
Eml1,1510.51,1473.7,2359.85,2170.25,2658.3,2588.39,3366.69
Larp7,1174.35,1250.54,1248.37,1230.36,1109.31,1093.48,1323.59
Eif5b,7326.33,6727.46,7250.97,6596.07,6530.55,6981.09,7612.86
Cab39,2698.64,2637.53,2664.38,2849.24,2307.89,2328.45,2742.62
Ptpn2,642.481,447.078,712.042,554.882,762.523,765.928,566.93
Atp5i,1160.86,1180.29,1320.71,1072.26,1147.71,1110.48,860.224
Sh3bp2,1176.57,1164.75,1182.87,1245.3,616.014,579.489,657.078
Anxa7,3352.23,4180.16,3200.88,3669.91,2223.79,2156.61,2944.61
Igfbp5,1481.25,1751.2,1795.64,1927.58,572.493,628.524,1162.26
Igf2r,439.678,363.564,3642.64,3670.97,519.538,474.957,3577.76
Ect2,1369.85,1148.68,1398.53,1234.46,1461.93,1621.95,1740.58
Zscan21,415.132,513.506,428.798,433.09,329.423,338.931,370.636
Mtf1,25.2805,39.2937,31.4305,30.6215,19.4666,22.1055,12.6983
Acads,2036.18,2478.62,2006.23,2024.41,1957.3,1973.27,2467.05
Lgals3bp,10.7702,11.3012,11.194,13.0432,42.3194,39.4374,46.6009
Bax,1177.27,1302.88,1248.23,1242.62,1106.38,1140.22,1300.79
Plk1,1481.62,892.757,1320.89,996.442,1380.06,1518.81,1605.29
Cbfb,2193.52,2488.2,2083.66,2372.44,2003.89,1915.64,1801.64
Hgf,58.4153,42.8068,135.132,126.526,236.286,262.587,234.167
Cnn1,725.384,780.333,541.206,591.942,543.521,529.902,400.086
Cnn2,3601.39,4556.35,3679.4,4363.24,5177.97,5066.25,3699.41
Tle3,913.292,1087.23,937.271,987.18,840.727,845.317,837.464
TGM3,942.445,388.605,986.092,1010.88,433.113,532.9,607.321
Lyar,2015.78,1003.63,2404.82,1389.97,1945.09,2094.13,2787.62
Rad51,414.189,460.3,469.394,489.625,377.683,388.687,400.059
Gata4,109.724,127.014,150.299,122.851,66.6562,73.6611,149.439
Zbtb14,34.5225,43.6377,47.0423,49.6914,47.2146,47.1275,41.2874
Eps8,3436.56,3507.56,3943.72,4272.29,4583.89,4541.98,2760.54
DSC1,172.034,83.8146,238.248,170.585,93.5031,106.524,81.2637
Tfdp1,493.676,627.532,523.773,699.843,680.928,622.007,476.328
Runx2,258.159,283.182,380.605,390.795,336.556,328.372,346.494
Fbln1,509.436,433.376,231.296,497.497,249.984,247.274,321.343
Ssrp1,3883.58,4574.48,4198.5,4683.35,3163.83,2900.04,3415.11
Slc7a1,780.974,617.881,933.804,836.409,458.194,485.61,1086.39
Chd8,2305.83,1197.94,2507.22,1770.87,2159.51,2232.32,3006.13
Inf2,3918.24,4179.34,3573.82,3850.99,4686.44,4462.04,4615.36
Ttc21b,602.862,474.568,626.777,585.43,773.237,785.254,871.805
Ubxn2b,133.463,111.43,116.816,132.394,93.6646,80.1891,57.8008
Trio,2811.56,1927.39,2725.87,2294.24,1597.28,1718.54,2122.59
Vps8,990.178,1119.06,1081.31,1108.47,1200.37,1125.51,1121.01
Lrriq1,105.148,126.236,95.7434,123.078,123.989,97.4211,86.0901
Tppp2,54.8798,76.478,54.1354,58.6714,63.1009,61.1838,58.7618
Zc3h18,1661.04,1892.32,1645.13,1899.07,1716.05,1638.78,1618.25
Mcm10,105.473,86.4268,96.1801,97.5279,94.3767,93.7852,119.002
Krt80,323.772,425.237,214.627,243.425,33.3659,16.9226,29.0063
Znf800,119.521,106.257,96.9184,91.9997,143.866,135.218,133.561
Cep76,233.955,252.142,242.48,245.764,214.613,232.329,172.609
Ppp4r2,2001.97,2182.93,1953.53,2071.6,1899.41,1836.17,1689.9
Zgrf1,42.9821,45.0622,56.733,42.1485,52.4612,63.1276,67.6006
Tanc1,2265.48,1793.5,2189.83,2089.85,1968.57,2007.17,2512.29
Npepps,5648.48,6575.04,5944.51,6656.25,6346.55,6177.31,5961.14
Pepd,1568.55,1730.26,1498.37,1568.96,1209.2,1207.3,1362.08
PKP1,497.273,521.657,561.82,572.077,360.975,344.552,415.476
DSC3,113.729,91.3635,116.664,125.459,94.8594,87.7109,79.7207
Kiaa1468,1700.3,1970.41,1702.91,1915.49,1877.53,1857.1,2330.75
Fam83h,379.878,380.165,452.8,495.418,308.969,283.009,489.739
Dusp27,719.262,802.615,688.95,738.475,269.083,243.634,386.984
Traf3ip1,121.276,122.876,142.612,156.193,137.768,142.826,165.597
Rpusd2,500.37,512.536,498.267,510.653,411.058,395.525,573.491
Gspt2,2085.75,2227.46,2012.86,2118.51,2044.62,2105.25,1700.76
DSCC1,606.977,749.54,706.08,809.644,830.302,801.965,629.237
Cdk12,1321,834.094,1390.82,969.554,1159.22,1185.4,1413.17
Rtkn2,37.6724,31.9176,73.3414,84.2135,175.86,183.238,129.493
Cdca2,239.542,162.908,240.093,177.738,250.476,287.837,381.57
Ptcd3,2062.19,2036.2,2102.36,1943.39,2350.05,2317.17,2398.99
Aars2,1057.74,969.509,944.469,922.371,883.942,960.067,989.415
Nsun2,3771.69,4177.69,3968.76,4133.7,4472.58,4653.26,4977.31
Trim72,82.3207,94.5536,33.3296,35.8001,10.4914,12.8098,9.77646
Parp14,68.7048,68.8746,57.564,73.1295,51.5114,56.927,33.6704
Edem3,715.94,760.875,798.568,757.032,877.967,845.125,729.886
Specc1l,3911.39,4266.1,4748.95,4747.71,4419.75,4504.43,3876.7
Gsk3a,1298.78,1109.29,1302.04,1217.51,1124.29,1036.54,1219.15
Malt1,698.872,683.417,653.582,744.657,541.229,599.886,434.331
Pi4k2a,1074.05,947.996,953.349,952.298,1358.5,1276.54,1227.12
Hsdl2,634.685,756.327,570.694,606.424,530.526,570.284,439.132
Helq,65.8843,42.5317,65.0546,51.632,63.2014,57.6489,83.6707
Msto1,1689.13,1969.13,1934.06,2213.92,1447.39,1401.63,1677.64
Slc39a7,100.004,25.6329,126.833,52.1769,132.655,220.309,307.9
Dus4l,119.377,119.393,113.72,133.865,140.616,136.381,164.383
Cdon,363.233,373.045,288.309,271.72,219.358,224.678,215.957
Cnnm3,888.153,673.194,916.943,784.05,1163.61,1122.38,1062.92
Osbp,1886.93,1986.9,1858.3,1976.51,2500.95,2428.62,2101.21
Tcerg1l,203.611,225.582,218.585,221.903,224.491,228.506,176.812
5-Mar,84.112,35.7181,86.9967,51.9885,92.9637,106.014,143.207
Hddc2,313.716,360.55,484.622,556.665,473.735,477.788,627.284
Tmem120b,206.936,130.364,180.234,173.554,119.932,117.682,146.606
Stk11ip,28.8921,27.33,30.3889,32.7641,24.7616,34.9891,33.3005
Emc10,62.3381,44.8979,62.1569,43.0996,74.9648,68.0768,82.2701
Tmem104,25.7004,27.1527,26.2269,28.261,31.5892,31.9202,30.0197
Plekhf1,677.557,663.968,748.276,723.483,910.578,911.897,1016.75
Mrpl10,194.731,215.327,233.376,213.921,211.001,209.087,239.171
Patl1,1209.01,1213.9,1163.82,1410.56,1282.09,1351.28,1179.49
Fahd2,127.299,141.811,162.445,173.86,223.616,233.039,188.554
Hs1bp3,745.747,958.494,933.498,998.9,1256.21,1393.18,1467.81
Cul4a,1908.35,1504.67,2122.5,1755.64,2502.51,2631.39,2783.01
Fam175b,475.04,443.847,472.296,444.157,494.781,517.052,590.989
Plbd2,870.94,985.819,794.53,866.604,979.401,933.797,737.363
Kiaa0907,1076.14,1243.12,1034.37,1149.99,949.528,900.09,960.649
Sppl2b,800.909,580.421,923.028,735.821,680.203,719.207,760.009
Ppp1r21,829.774,948.789,851.077,955.905,805.117,817.584,768.671
Rogdi,108.312,106.352,102.831,116.51,138.916,135.492,62.2228
Disp1,217.343,191.785,187.478,177.65,213.072,209.796,184.942
Faf2,1865.27,1270.59,1990.43,1359.37,2120.35,2241.21,3374.89
Stt3b,535.162,176.209,549.791,269.712,619.276,680.335,685.098
Cyb5r4,337.433,342.351,293.316,339.849,287.339,288.333,257.983
Hp1bp3,2647.72,1540.88,2901.78,2046.52,3096.6,3351.03,2351.32
Hp1bp3,85.2346,45.0991,91.7744,67.1104,90.6,95.9847,58.938
Lpcat1,983.718,477.262,1100.14,618.269,1017.86,1095.88,903.37
Gpatch4,599.557,610.727,604.817,558.413,586.179,532.572,844.861
Spryd7,300.58,266.048,229.936,245.643,204.444,207.224,227.709
Fam107b,446.23,537.496,611.604,700.632,487.943,513.282,407.623
Myl12b,2775.34,3198.32,2650.36,2871.02,3170.94,3140.02,2571.54
Aarsd1,1266.33,1444.35,1270.42,1333.19,1951.03,1955.2,1526.33
Eif1ad,209.306,218.704,193.572,228.77,190.306,187.663,184.724
Gtf2f1,1968.36,2081.43,2248.46,2238.85,1416.62,1382.91,1949
Gmps,4426,5310.22,4840.85,5605.89,4236.02,4020.86,4461.65
Mat2a,2646.26,2523.09,2328.23,2272.58,2083.43,2064.33,2307.04
Schip1,138.471,163.835,168.989,180.651,107.367,117.09,108.799
Trappc13,1217.33,1526.82,1174.47,1303.61,1093.69,1070.17,787.028
Ric8a,1695.84,1768.5,1672.7,1808.42,1292.84,1326.43,1454.28
Pde12,578.191,468.666,611.13,541.932,468.938,518.263,737.627
Zc3h15,2706.64,2523.95,2758.22,2395.59,2387.16,2441.71,2953.16
Usp39,2014.48,1108.1,1902.02,1272.94,2292.26,2493.56,2534.48
Pdlim7,3567.27,3949.21,3613.97,3998.75,2827.52,2765.96,3070.03
Cenpt,41.6444,41.3503,48.2105,37.4952,46.3809,51.9053,34.0256
Fam98a,2516.43,2428.69,2423.67,2324.79,2030.81,2076.93,2303.91
Smarca4,6041.95,2754.17,6427.04,4106.25,5709.44,6159.03,6839.42
Cwc27,1238,1408.38,1247.23,1405.71,1105.25,1098.14,1141.8
Uri1,627.177,710.254,665.796,729.737,867.838,842.024,985.137
Prrc2c,7976.88,5736.06,8286.54,6219.56,7283.67,7582.3,8816.1
Echdc2,252.437,320.048,295.054,321.721,175.906,191.406,223.318
Dtl,42.1745,34.5638,42.9824,38.7592,69.4762,58.5766,71.9995
Gdpgp1,39.0322,44.3668,47.8713,41.5499,40.4148,39.4401,57.3577
Scrn3,621.437,651.509,692.669,740.558,653.684,615.076,921.577
Pyroxd1,287.223,358.85,278.06,322.896,403.565,376.148,261.451
Ccdc102a,786.457,832.35,765.497,808.344,1136.89,1112.17,1079.3
Qsox2,840.846,769.008,861.764,909.643,873.719,940.16,1029.1
Micall2,673.893,772.619,724.365,738.735,901.802,920.193,646.724
Fam172a,617.722,702.312,602.9,651.912,809.485,777.949,668.129
Itprip,225.074,76.1138,249.119,140.411,327.698,354.5,460.842
Ankmy2,292.123,306.301,327.251,392.286,316.279,304.664,380.179
Exoc5,2483.46,2564.36,2224.33,2357.94,2448.99,2253.99,2048.66
Foxred1,42.7927,48.8687,51.4783,40.4696,50.5782,47.5958,70.6724
,160.042,182.711,167.423,193.015,142.877,163.979,147.045
,115.016,106.564,95.2167,107.819,107.03,128.238,95.6153
Pnpla6,92.1875,43.2347,95.6187,56.3132,78.6848,81.4757,122.689
Alkbh5,458.265,368.49,326.039,379.28,460.697,427.431,368.075
D17Wsu92e,178.864,205.624,196.404,233.074,169.006,156.472,149.917
Cblb,32.6287,21.067,29.0646,15.0647,51.1433,52.222,30.059
,182.134,175.917,137.869,147.063,148.586,145.429,107.25
Yeats2,227.566,218.258,221.628,219.674,222.121,197.692,191.173
Tamm41,463.208,490.769,352.574,366.369,564.603,530.007,507.893
Tex30,748.111,720.327,756.173,788.002,698.54,762.076,768.801
Nr2c2ap,56.0857,64.9139,55.3038,63.7468,50.0143,55.7567,44.7929
Ccndbp1,179.772,122.97,233.429,146.263,174.435,206.419,274.191
Hexim2,26.1314,30.6549,26.2042,30.8984,44.9217,39.4167,37.7193
Pbxip1,2453.55,923.593,2177.86,1180.3,1463.32,1586.94,3932.39
Uap1l1,1373.37,1573.65,1999.17,2065.64,1917.28,1744.94,2969.07
Wdr70,2417.69,2438.7,2477.56,2515.56,2005.39,1912.77,2183.45
Tmem55b,1286.73,1243.33,1128.76,1205.99,951.193,958.626,1134.18
Srsf6,1205.33,1368.17,1257.81,1377.68,1226.11,1117.04,1031.42
Trmt1,928.227,707.023,994.642,797.234,1121.92,1181.88,1763.24
Psmd1,7633.25,9116.51,7410.67,8599.06,7541.51,7492.48,6710.14
Dhps,727.536,907.85,840.659,895.839,723.828,734.125,731.684
Zfyve27,41.4832,17.3782,47.4743,23.9816,63.5377,68.2624,78.9896
Mphosph8,687.002,383.846,761.352,554.714,513.871,574.072,1037.54
,620.602,269.545,650.234,341.695,590.16,619.284,739.732
Smyd5,890.004,1003.34,666.868,683.055,1093.77,1108.3,884.241
Alg11,146.736,52.2171,142.086,78.97,119.88,151.516,226.479
Nol9,1434.44,1044.62,1402.07,1215.44,1295.77,1314.63,1424.67
Esyt2,3127.6,1198.34,3546.89,1889.28,3871.94,4218.9,4694.78
Dhrs11,200.609,187.177,111.938,126.355,339.477,319.968,182.723
Tbc1d2b,282.658,267.65,261.468,262.066,196.316,207.626,206.277
Ogfod1,658.986,701.995,662.381,727.924,624.379,614.643,618.027
Trappc9,704.565,588.28,824.86,778.356,859.015,865.698,957.907
Khsrp,6191.95,7078.81,6708.24,7322.32,6719.6,6273.73,5742.01
Tradd,794.589,855.259,724.217,819.865,881.884,898.802,848.789
Crtc2,101.226,134.533,118.346,139.605,109.879,98.2677,109.422
Rars2,967.571,972.908,978.017,1005.84,1149.18,1148.88,1055.22
Tatdn3,225.537,279.158,229.149,255.717,371.913,336.93,344.937
Isg20l2,600.17,552.263,633.385,592.921,483.239,454.547,526.941
Ddb1,7347.44,8420.56,7342.55,7825.11,7953.06,7299.65,6836.12
Brms1l,682.679,703.177,664.205,690.911,782.939,736.688,649.858
Uevld,824.187,947.99,721.624,902.411,848.109,846.577,649.283
Mast3,112.553,91.2842,117.874,105.792,115.208,102.648,123.692
Vars2,425.96,415.645,380,332.747,482.115,494.591,469.124
Rnf149,242.985,214.019,242.587,237.4,281.558,284.429,301.517
Zmym5,169.348,192.856,165.938,213.345,195.341,187.252,187.295
Fam160a2,97.321,85.8692,81.4454,84.8413,84.9539,70.4616,88.5755
Fam193b,98.7348,101.585,111.986,111.884,84.5845,79.5999,70.3694
Sec24a,1067.46,1118,1086.67,1145.55,1168.26,1090.2,1075.16
Ctu2,888.911,777.09,909.41,943.928,838.875,838.7,1153.83
Rnf40,2575.31,2747.49,2434.56,2565.55,2269.6,2183.16,1958.09
Gse1,34.1343,43.6151,37.6941,42.0559,36.4633,30.3875,36.6939
Fam117b,585.604,675.22,613.95,659.673,582.809,576.488,410.489
Mier2,126.897,146.445,107.112,126.871,89.9505,107.877,83.4007
Ulk3,68.3615,70.1177,55.7657,81.3349,35.0709,42.1702,53.5375
Lmf1,12.3797,7.11266,13.6387,12.3592,19.6337,20.97,44.771
Wdr62,745.573,823.837,526.392,617.106,750.87,716.721,664.665
Prmt9,1212.51,1345.06,1260.74,1414.56,1490.86,1449.53,1290.85
Hectd3,400.18,456.77,393.149,475.861,359.751,377.348,303.503
Xxylt1,266.951,152.983,316.675,199.255,436.503,483.56,416.93
Yrdc,302.973,421.813,303.65,344.931,298.332,313.378,242.072
,18.4694,9.01293,16.3317,15.3426,17.7665,13.499,17.752
Gtpbp6,274.404,244.133,249.864,229.69,263.449,291.43,392.093
Esyt1,9642.25,5236.27,8311.45,4769.53,5663.8,6713.24,6253.62
Fbxo7,150.743,113.753,174.868,129.839,138.939,167.27,201.156
Col5a2,2416.58,2625.08,2937.88,2875.75,4782.4,4654.95,3416.15
Lbr,1517.73,550.361,2268.9,1051.6,3112.29,3453.45,2763.89
Trip13,1846.9,1874.35,1907.99,2097.83,2049.54,1880.55,1978.44
Spc25,163.659,167.563,180.488,168.747,176.797,183.908,153.518
Qrich1,1243.42,1330.98,1349.24,1334.75,1561.07,1630.47,1456.29
Tbrg1,178.836,130.161,191.774,155.963,162.521,168.733,257.69
Tmem109,639.324,322.717,690.71,417.595,799.964,802.215,902.466
Mif4gd,150.209,156.567,123.374,137.641,209.516,190.636,154.354
Foxk2,517.43,576.492,524.471,649.024,539.752,548.353,420.275
Otulin,316.629,311.728,308.852,334.337,309.502,302.594,315.62
Ttll12,2705.97,3436.54,2587.13,2762.21,2884.89,2952.35,2477.35
Trafd1,213.766,265.988,279.72,318.534,216.684,223.793,138.446
Wdr41,291.687,315.528,249.337,280.888,302.873,253.217,249.733
Yipf3,536.234,536.173,587.985,555.553,560.395,638.82,660.888
Hgsnat,400.201,406.205,384.238,375.703,587.881,562.21,905.435
Mex3d,372.55,450.188,414.445,447.421,349.853,353.809,321.755
,255.344,284.577,235.568,239.056,150.727,140.85,156.784
Ube2z,1810.09,2141.97,1988.21,2114.68,1734.02,1629.41,1591.19
Puf60,3914.75,4398.12,4095.32,4420.17,4163.11,3882.09,3329.15
Znhit6,2486.54,2695.53,2470.39,2606.06,2105.13,2064.45,2860.9
Frmd8,579.493,672.138,587.747,680.238,494.689,488.536,465.967
Nom1,270.864,140.45,288.793,192.939,224.792,262.389,804.207
Zyg11b,147.43,114.639,120.583,129.709,145.746,129.371,125.141
Gpatch11,345.988,373.962,336.741,357.329,311.489,276.777,272.521
Rrp36,582.794,517.417,569.332,481.622,406.433,392.639,553.859
Nt5c3b,907.155,1065.12,1087.86,1280.12,1415.78,1351.62,1250.38
Trmt10c,641.585,613.742,637.711,533.165,642.164,659.046,604.103
Kmt2e,49.1724,39.5458,58.1561,49.0995,69.7182,71.5104,61.115
Nat9,294.169,307.068,316.482,290.616,354.407,331.991,347.728
Eif3j1,2181.9,2151.57,2100.54,2257.66,1610.13,1473.31,2110.36
Wdr19,595.988,532.93,513.107,531.479,608.092,606.951,631.564
Alg10b,575.163,209.275,664.547,301.983,536.633,605.996,953.154
Lrrc58,760.681,909.529,674.517,896.418,465.688,455.125,188.62
Hdhd2,563.857,675.559,580.308,615.518,745.489,696.643,466.568
Fam195b,591.077,607.091,590.317,607.363,475.159,612.951,553.93
Rreb1,77.4418,97.2855,75.3802,85.4494,58.1441,69.1397,96.9263
Dip2b,677.683,584.886,646.277,645.704,738.361,735.737,872.701
Spg11,230.105,240.394,220.541,244.342,210.615,192.639,256.159
Nt5dc3,1102.55,984.859,1094.7,1016.29,896.938,763.015,1148.37
