 	oxsm_fc	oxsm_bh	
OROTATE	0.28984790172928426	0.04627222294843463	
GALACTITOL	0.04689562522446145	0.6365618436601773	
MANNITOL	0.04689562522446145	0.6365618436601773	
URIDINE 5'-DIPHOSPHATE	0.39447016385099526	0.0003995142529537518	
hexanoylcarnitine	0.878855164849733	0.00003435523695130887	
BETA-GLYCEROPHOSPHATE	0.1151740892866835	0.40649452970489225	
GLYCOLATE	1.435854071062409	0.021257046947610374	
ANSERINE	-0.19817999266450695	0.6077993321985109	
ALPHA-KETOISOVALERATE	0.28984790172928426	0.04627222294843463	
ASPARAGINE	-0.5625009266126593	0.12676002827302926	
2-HYDROXYPHENYLACETATE	0.629116830327393	0.21168076234062136	
METHYLTHIOADENOSINE	-0.168505724356978	0.08827357287402908	
GLYCEROL 3-PHOSPHATE	0.07653975843954776	0.5959703281513777	
GALACTARATE	0.09381161664233172	0.5194480351712563	
PYRAZOLE	-0.27794481118382364	0.656224842679219	
Dodecanoic acid	0.27454839385083485	0.10601748873401373	
THIAMINE MONOPHOSPHATE	0.28984790172928426	0.04627222294843463	
1-AMINOCYCLOPROPANECARBOXYLATE	-0.18090566256978718	0.23180173439475726	
2-HYDROXYPYRIDINE	-0.749656913109828	0.01066727460208326	
DEOXYCYTIDINE-2	0.28984790172928426	0.04627222294843463	
S-ADENOSYLMETHIONINE	-1.149035601742183	0.02215310760970421	
PIPECOLATE	-0.4134060448011422	0.006758708057425681	
N-ACETYLGLYCINE	-0.7063708195957769	0.005824970727551308	
THYROXINE	0.28984790172928426	0.04627222294843463	
S-CARBOXYMETHYLCYSTEINE	0.28984790172928426	0.04627222294843463	
INDOLEACETALDEHYDE	0.28984790172928426	0.04627222294843463	
GLUCONOLACTONE	0.28984790172928426	0.04627222294843463	
2-PROPENOATE-2	0.28984790172928426	0.04627222294843463	
HYDROXYISOCAPROIC	0.5811946870337544	0.09060784395146289	
TRIGONELLINE	-0.08071600880975482	0.6044923213738572	
SACCHARATE	-0.01758691068687805	0.9321556089845653	
HISTIDINE	-0.2582210982683965	0.008096277704324138	
PHENYLACETATE	0.5072124678785042	0.024979604489555402	
SPERMIDINE	0.2258814074163275	0.015189131096263072	
OPHTHALMATE-2	-1.1578224092506337	0.2198097922850329	
GLYOXYLATE	0.09420276938575262	0.1729211819031783	
MEVALONATE	0.5624796906785011	0.04409964404347963	
BETA-ALANINE	-0.33352642030062135	0.28218865071437776	
SARCOSINE	-0.3763406710456956	0.2183636575706688	
O-ACETYLSERINE	-0.3430252487147808	0.11190379726609771	
DIMETHYLGLYCINE	0.44141500381419996	0.5901128740923521	
ASPARTATE	-2.088614387173568	0.005247492485067002	
2-DEOXY-D-GLUCOSE	-2.1421017041635824	0.012146644327444289	
GLYCEROPHOSPHOCHOLINE	-0.2000107276316039	0.4364230635737254	
GAMMA-AMINOBUTYRATE	0.3780985942151769	0.6589826734863428	
3-HYDROXYMETHYLGLUTARATE	-0.05067413807108494	0.7839655173939436	
RHAMNOSE	-0.5538870096164915	0.2769155510125833	
N-ACETYLMETHIONINE	0.12209361894420699	0.6526071988312704	
N-FORMYL-L-METHIONINE	0.2751798356958832	0.1582694190268597	
SORBATE	0.28984790172928426	0.04627222294843463	
4-HYDROXY-3-METHOXYPHENYLGLYCOL	0.8484712406275733	0.1281796032562401	
TRIMETHYLAMINE	0.4948222166221264	0.036951736312117865	
GLUCOSE 1-PHOSPHATE	0.5983986401268511	0.06923437976678923	
N-ACETYLASPARTATE	-0.49692470058101695	0.18786204125907216	
OXOADIPATE	1.25012765445216	0.01766867130295721	
PYROCATECHOL	0.28984790172928426	0.04627222294843463	
4-METHYLCATECHOL	0.28984790172928426	0.04627222294843463	
SORBITOL	0.1935076758998662	0.15706717108000848	
GLUCOSE 6-PHOSPHATE	0.6000693931113645	0.06843083862967977	
MANNOSE 6-PHOSPHATE	0.589152730332193	0.08557790273720178	
FRUCTOSE 6-PHOSPHATE	0.5983986401268511	0.06923437976678923	
FUMARATE	-0.09832915452522148	0.7040529974778913	
MALEATE	-0.1447883448208438	0.5429490212194381	
O-ACETYLCARNITINE-2	-1.8636206334045367	0.00009825476498956376	
L-CARNITINE	0.6100161327734703	0.00019115123136407913	
KYNURENATE	-0.45122051485658154	0.3882683598690709	
D-ALANINE	-1.1926450779423958	0.0032290583506599958	
N-ACETYLALANINE	0.5976896764804762	0.2787963312985301	
L-ALANINE	-1.1743173053918272	0.0028401353522600377	
3-(2-HYDROXYPHENYL)PROPANOATE	0.6302864912306467	0.0005199529597440645	
MALATE	-0.15596277829781952	0.5566469570469351	
DEOXYURIDINE	0.28984790172928426	0.04627222294843463	
2-HYDROXY-4-(METHYLTHIO)BUTANOATE	0.8901343672829406	0.0006273534651240052	
DEOXYINOSINE	0.13133650376506453	0.4106600360013595	
P-HYDROXYPHENYLACETATE	0.18546585233809043	0.44357834761383347	
MANDELATE	0.629116830327393	0.21168076234062136	
Isovalerylcarnitine	0.19022241567554035	0.19164145499060198	
N-ACETYLLEUCINE	-0.6789386489301702	0.004296583757040955	
3,4-DIHYDROXYPHENYLACETATE-1	0.28984790172928426	0.04627222294843463	
INOSINE	-0.9397454259250443	0.06387122070833709	
STACHYOSE	-0.2525124097127835	0.19757471556897258	
N-ACETYLPHENYLALANINE	-1.0408459134030341	0.005106486586121009	
2-AMINOPHENOL-2	0.047195167669694726	0.6795961384686026	
PROLINE	-0.7665907632754843	0.0026441360467949287	
INDOLE-3-PYRUVATE	0.28984790172928426	0.04627222294843463	
GLYCERATE	0.07555103300717676	0.6993300693944765	
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE-2	0.28984790172928426	0.04627222294843463	
SUCCINATE	-0.20088292277604786	0.09773166846785515	
SALSOLINOL-2	-0.420118493064244	0.5302800462987279	
5-Methyluridine	0.28984790172928426	0.04627222294843463	
ARGININE	-0.12157605969354172	0.5119633949150758	
RAFFINOSE	-0.11622183423176334	0.5221608503905028	
URACIL-1	-0.11808606992269427	0.023781830231440006	
URIDINE	0.33132679288961214	0.08995800781509908	
CREATINE	0.13836423474745743	0.2912589861437409	
5-HYDROXYTRYPTOPHAN	-0.5252141344856668	0.26965313891807874	
URACIL-2	-0.34751647114589307	0.008299235710852877	
CYSTINE	-7.520487484907563	2.986807014379099e-7	
N,N,N-TRIMETHYLLYSINE	0.013466914069406704	0.9470801103161612	
SERINE	-0.7378065706055773	0.09205324349325893	
2-HYDROXYBUTYRATE	-0.7319574734483888	0.08030246240235019	
Lactoylglutathione	0.28984790172928426	0.04627222294843463	
DEOXYCYTIDINE-1	-0.18321642645918465	0.7557574013963891	
2-HYDROXYGLUTARIC	1.199361452681107	0.0065787264124171855	
NICOTINAMIDE-1	0.320555624473827	0.009493922742561844	
GLYCERALDEHYDE	0.4578247556077463	0.03645377241710626	
4-PYRIDOXATE	0.18254156668361335	0.6338103693708159	
O-ACETYLCARNITINE	-1.911910156279541	0.000059969089261545456	
N-ACETYLASPARAGINE	-0.3336098999349976	0.003950614424346174	
cis-ACONITATE-1	-1.00448622815266	0.0003213856642845987	
CITRULLINE	-0.24659476966207375	0.007389779113141477	
LACTATE	0.48379988023617565	0.022611152592931637	
RIBOFLAVIN	-0.16243046489538818	0.7385300395624951	
DEOXYCARNITINE	0.10429608965849549	0.000010889278312466657	
CITRATE	-1.1614634226941163	0.00016456991478826967	
GLYCINE	-0.2522276508772106	0.0012588563602962746	
AMINOADIPATE	1.0073583585257297	1.5728236550578946e-8	
OXOGLUTARATE	4.080919995383567	0.00001688345142894673	
1-METHYL-L-HISTIDINE	-1.410200056600808	0.08735549448005449	
ALLOTHREONINE	0.3573283810316842	0.4812393848759656	
HEXOSE	0.5619839369430645	0.02932503856467797	
CYTIDINE	0.38935481477220923	0.20964673616824547	
HOMOSERINE	0.35656202860503555	0.4840544593163832	
CARNOSINE	0.49106236183967455	0.062400611235567206	
4-ACETAMIDOBUTANOATE	0.059072339916392234	0.8446226178024332	
GLYCOCHOLATE	-0.09645364921943515	0.8042363804192714	
N-ALPHA-ACETYLLYSINE	-0.6744522881349879	0.01575387077675328	
L-ORNITHINE	-0.05549511259170341	0.7204803760742028	
PROPIONYLCARNITINE	-0.5056721983275245	0.11434509458655956	
XANTHOSINE	-0.1494438092878833	0.4398012609687754	
NICOTINAMIDE-2	-0.14010197171501132	0.3787984301148685	
D-ORNITHINE	-0.0793389595640872	0.4739279699473623	
METHIONINE SULFOXIDE	-0.2798483716448752	0.5494694987939525	
CITRAMALATE	-0.9754776808659311	0.014663227905796536	
URATE-2	0.9588920151570932	0.07431339964194929	
URATE-1	0.9588920151570932	0.07431339964194929	
