 	oxsm_fc	oxsm_bh	Unnamed: 3
RAFFINOSE	-0.1162218342317633	0.5221608503905028	
URACIL-1	-0.1180860699226942	0.02378183023144	
URACIL-2	-0.347516471145893	0.0082992357108528	
N,N,N-TRIMETHYLLYSINE	0.0134669140694067	0.9470801103161612	
2-HYDROXYBUTYRATE	-0.7319574734483888	0.0803024624023501	
Lactoylglutathione	0.2898479017292842	0.0462722229484346	
DEOXYCYTIDINE-1	-0.1832164264591846	0.7557574013963891	
2-HYDROXYGLUTARIC	1.199361452681107	0.0065787264124171	
NICOTINAMIDE-1	0.320555624473827	0.0094939227425618	
N-ACETYLASPARAGINE	-0.3336098999349976	0.0039506144243461	
cis-ACONITATE-1	-1.00448622815266	0.0003213856642845	
AMINOADIPATE	1.0073583585257295	1.5728236550578946e-08	
1-METHYL-L-HISTIDINE	-1.410200056600808	0.0873554944800544	
ALLOTHREONINE	0.3573283810316842	0.4812393848759656	
HOMOSERINE	0.3565620286050355	0.4840544593163832	
4-ACETAMIDOBUTANOATE	0.0590723399163922	0.8446226178024332	
N-ALPHA-ACETYLLYSINE	-0.6744522881349879	0.0157538707767532	
XANTHOSINE	-0.1494438092878833	0.4398012609687754	
NICOTINAMIDE-2	-0.1401019717150113	0.3787984301148685	
D-ORNITHINE	-0.0793389595640872	0.4739279699473623	
CITRAMALATE	-0.9754776808659312	0.0146632279057965	
URATE-2	0.9588920151570932	0.0743133996419492	
URATE-1	0.9588920151570932	0.0743133996419492	
GLUCONATE	0.4999145588333565	0.0451537844633007	
Butyrylcarnitine	0.6196756350091437	0.0055945325271463	
Hydroxyphenyllactic acid	0.5823747062320004	0.0256438210625626	
HYDROXYPHENYLLACTATE	0.5502899230663767	0.0335759595763418	
ALLANTOIN	-0.2680942796426034	0.289539257625516	
SALSOLINOL-1	-0.392332008923681	0.4956702940483183	
2-METHYLMALEATE	-0.1559735560597165	0.3428475926731102	
ETHYLMALONATE	-0.53962319294514	0.0208440667106667	
PYRIDOXINE-1	0.1609201881811026	0.3959419347711908	
PYRIDOXINE-2	0.1609201881811026	0.3959419347711908	
OXOPROLINE	0.5472372891710443	0.3055110091856224	
XANTHINE-2	-0.2966486864390044	0.3648907887678684	
ITACONATE	0.0663688096157147	0.7507006509574562	
2-KETOHEXANOIC	0.3854445456372951	0.2295879972655163	
PANTOTHENATE	-0.5506563786838359	0.1333906644263746	
METHIONINE-1	-0.288761230952163	0.0866294813526061	
METHIONINE-2	-0.5827716194483459	0.1099937747137521	
GLUTARYLCARNITINE	-0.3649817831465935	0.5373363358566483	
