 	mecr_fc	mecr_bh	
GALACTITOL	-0.4541186949568253	0.2982911656123544	
MANNITOL	-0.4541186949568253	0.2982911656123544	
URIDINE 5'-DIPHOSPHATE	0.2996388236582516	0.04735433842966267	
hexanoylcarnitine	0.47916783669855956	0.000006677134392678226	
BETA-GLYCEROPHOSPHATE	0.29889169139175714	0.05188911738931559	
GLYCOLATE	0.20428343958359982	0.69713784091166	
ANSERINE	-1.1249901418073303	0.04194790860704755	
ALPHA-KETOISOVALERATE	0.23905729083775107	0.09154207672757386	
ASPARAGINE	-0.3280356729756361	0.4616613763532407	
2-HYDROXYPHENYLACETATE	0.46302369047610764	0.340238931603118	
METHYLTHIOADENOSINE	-0.095888921049434	0.17158610301878507	
GLYCEROL 3-PHOSPHATE	0.2820187968396497	0.07267168031739667	
GALACTARATE	0.005873996639839087	0.9903498902805267	
PYRAZOLE	0.07951270864203451	0.8459598578121204	
Dodecanoic acid	-0.04222823538929744	0.757443052071993	
THIAMINE MONOPHOSPHATE	0.23905729083775107	0.09154207672757386	
1-AMINOCYCLOPROPANECARBOXYLATE	-0.2580423764900398	0.31314316644968854	
2-HYDROXYPYRIDINE	-0.687288148146578	0.021620154250580764	
DEOXYCYTIDINE-2	0.23905729083775107	0.09154207672757386	
S-ADENOSYLMETHIONINE	-0.3451354860486873	0.4587574083768569	
PIPECOLATE	-0.15004556934433322	0.13218236444456266	
N-ACETYLGLYCINE	-0.6750843850740059	0.006825532826218263	
THYROXINE	0.23905729083775107	0.09154207672757386	
S-CARBOXYMETHYLCYSTEINE	0.23905729083775107	0.09154207672757386	
INDOLEACETALDEHYDE	0.23905729083775107	0.09154207672757386	
GLUCONOLACTONE	0.23905729083775107	0.09154207672757386	
2-PROPENOATE-2	0.23905729083775107	0.09154207672757386	
HYDROXYISOCAPROIC	0.3755561705487563	0.17357364838568407	
TRIGONELLINE	-0.1426043954428004	0.27230398224794294	
SACCHARATE	0.06737849270291736	0.8806586231001308	
HISTIDINE	-0.29870467540451945	0.06128055841562471	
PHENYLACETATE	-1.3847658254989044	0.03241549245768122	
SPERMIDINE	0.5352094655240565	0.03095421028589286	
OPHTHALMATE-2	-1.7297743356078166	0.0859678838497289	
GLYOXYLATE	-0.4742046591020471	0.08834085509888427	
MEVALONATE	0.021911309315798492	0.918524408543604	
BETA-ALANINE	-0.946084744210111	0.01934923437013979	
SARCOSINE	-1.0246199667730036	0.015112809834247285	
O-ACETYLSERINE	-0.23764346748387763	0.36560366620820034	
DIMETHYLGLYCINE	-1.7333188681988831	0.1627169993196026	
ASPARTATE	-2.8494956319427454	0.0025767119628774967	
2-DEOXY-D-GLUCOSE	0.013944791164314256	0.9722589347097557	
GLYCEROPHOSPHOCHOLINE	0.05392639079628601	0.8158118487404852	
GAMMA-AMINOBUTYRATE	-2.051165395762265	0.11881088811989034	
3-HYDROXYMETHYLGLUTARATE	0.13603463337268826	0.43734244463481975	
RHAMNOSE	-0.26526811927557314	0.5882822927207211	
N-ACETYLMETHIONINE	-0.36039193291391225	0.07381246866613671	
N-FORMYL-L-METHIONINE	-1.1566569524512667	0.0000959175560061881	
SORBATE	0.23905729083775107	0.09154207672757386	
4-HYDROXY-3-METHOXYPHENYLGLYCOL	0.533500696452652	0.28427269353551937	
TRIMETHYLAMINE	0.6219341345254655	0.012513085225074874	
GLUCOSE 1-PHOSPHATE	0.3490076289436466	0.3430672218987517	
N-ACETYLASPARTATE	-0.43645515660190953	0.18502375823288839	
OXOADIPATE	1.5025706490182387	0.00014308939002829547	
PYROCATECHOL	0.23905729083775107	0.09154207672757386	
4-METHYLCATECHOL	0.23905729083775107	0.09154207672757386	
SORBITOL	-1.4472707297873135	0.03313201668310559	
GLUCOSE 6-PHOSPHATE	0.3490076289436466	0.3430672218987517	
MANNOSE 6-PHOSPHATE	0.37482707178169117	0.3021771838101908	
FRUCTOSE 6-PHOSPHATE	0.3490076289436466	0.3430672218987517	
FUMARATE	-1.400326715903403	0.000012987156354225163	
MALEATE	-1.4396357529938835	8.429937595224655e-7	
O-ACETYLCARNITINE-2	-1.6685677189518051	0.0004199319545716562	
L-CARNITINE	0.21681138907314831	0.15373095228732964	
KYNURENATE	-0.6156981237304447	0.24942415023338868	
D-ALANINE	-1.6938146416583846	0.00120355867577995	
N-ACETYLALANINE	-0.623231170034118	0.35723885647024617	
L-ALANINE	-1.6836964543065158	0.001014697391829447	
3-(2-HYDROXYPHENYL)PROPANOATE	-0.1350499601638528	0.1671585041949798	
MALATE	-1.573238749772663	0.000009535254047255513	
DEOXYURIDINE	0.23905729083775107	0.09154207672757386	
2-HYDROXY-4-(METHYLTHIO)BUTANOATE	-0.3525498824448589	0.11307065409479987	
DEOXYINOSINE	0.24458355372762208	0.24237633962912056	
P-HYDROXYPHENYLACETATE	0.16432004346654158	0.5128838320467911	
MANDELATE	0.4744585855383914	0.32331681771319287	
Isovalerylcarnitine	-0.15128604818133853	0.423981400622825	
N-ACETYLLEUCINE	-0.90040656203832	0.003656382123978387	
3,4-DIHYDROXYPHENYLACETATE-1	0.23905729083775107	0.09154207672757386	
INOSINE	1.8237197744534046	0.051031848950353	
STACHYOSE	-0.33175546472188133	0.058185383865655624	
N-ACETYLPHENYLALANINE	-1.3884355299845945	0.0035216682830901142	
2-AMINOPHENOL-2	-0.031175895883177804	0.8082288980365534	
PROLINE	-1.830857159076108	0.00017213342015835048	
INDOLE-3-PYRUVATE	0.23905729083775107	0.09154207672757386	
GLYCERATE	-0.12341704281794082	0.5419897754532459	
BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE-2	0.23905729083775107	0.09154207672757386	
SUCCINATE	0.02516243069062426	0.8730140593139	
SALSOLINOL-2	-0.8702660703959828	0.04483963688363206	
5-Methyluridine	0.23905729083775107	0.09154207672757386	
ARGININE	-0.1798890705179434	0.3822526521860838	
RAFFINOSE	-0.2666120767085124	0.05695799772244881	
URACIL-1	-0.05336549211798864	0.2538749664060691	
URIDINE	0.050951187446755614	0.7725756519637822	
CREATINE	0.21107355705595612	0.07608352177440234	
5-HYDROXYTRYPTOPHAN	-0.24369124599921166	0.5834588536034959	
URACIL-2	-0.3399432514410926	0.05356271358103338	
CYSTINE	-7.571278095799096	1.492363930317251e-7	
N,N,N-TRIMETHYLLYSINE	-0.10980912237884957	0.6698558587489122	
SERINE	-1.0075864944718074	0.017044903188887125	
2-HYDROXYBUTYRATE	-0.48930214821943524	0.18065204724079087	
Lactoylglutathione	0.23905729083775107	0.09154207672757386	
DEOXYCYTIDINE-1	0.07958056072916449	0.6883303760055367	
2-HYDROXYGLUTARIC	2.226350434905131	0.000026831078477639458	
NICOTINAMIDE-1	0.1681456222569669	0.40902976278684	
GLYCERALDEHYDE	0.16664986940945156	0.2636834390882616	
4-PYRIDOXATE	-0.05440117901410153	0.909652423507094	
O-ACETYLCARNITINE	-2.228232434906817	0.00003997235346929187	
N-ACETYLASPARAGINE	-0.020551045327231027	0.9405118345962661	
cis-ACONITATE-1	-1.324730352241475	0.00012114227548887859	
CITRULLINE	-0.6953486113792073	0.03811042772082472	
LACTATE	0.19157760098589588	0.2208156007663669	
RIBOFLAVIN	-0.3342254536907467	0.508957643143198	
DEOXYCARNITINE	-0.2983530617272882	0.00024261440139484796	
CITRATE	-1.7394822891627018	0.00005733641030087758	
GLYCINE	-0.43079157059339585	0.025373194253502967	
AMINOADIPATE	1.4021856708177154	0.001327948055497465	
OXOGLUTARATE	4.512722377141817	0.00006928405484410386	
1-METHYL-L-HISTIDINE	-0.5349154915907676	0.2677109497304554	
ALLOTHREONINE	-0.0084937113300578	0.9808198191485124	
HEXOSE	-0.6973492151522902	0.026038515537623964	
CYTIDINE	0.4247570915557596	0.13722429667776795	
HOMOSERINE	-0.007718722754445066	0.9852080953331962	
CARNOSINE	-0.6457101566705423	0.00203575880258608	
4-ACETAMIDOBUTANOATE	-0.04998813583167649	0.8390517720315597	
GLYCOCHOLATE	-0.10200604237522268	0.7681712082183548	
N-ALPHA-ACETYLLYSINE	-0.3545277820841215	0.17752763752664635	
L-ORNITHINE	-0.05266906851294034	0.7208509563532489	
PROPIONYLCARNITINE	-0.6841262018474529	0.04932740352757224	
XANTHOSINE	-0.031897618272437374	0.8652696324403365	
NICOTINAMIDE-2	-0.17736159028409387	0.3342886492832565	
D-ORNITHINE	-0.11452838802638733	0.27560460002112636	
METHIONINE SULFOXIDE	-0.20603163155730642	0.7107137029941198	
CITRAMALATE	-0.8291592923759527	0.02686681361059697	
URATE-2	0.8607309915823961	0.13998553712401454	
URATE-1	0.8592581021835205	0.1416411158681904	
GLUCONATE	-0.40047163839955624	0.24593221436691806	
BUTANOATE	0.12271915825313323	0.36292500364939195	
FOLATE	-0.2672146189456725	0.5452910184666355	
Butyrylcarnitine	0.21673478647452205	0.21273588752768496	
Hydroxyphenyllactic acid	-0.5832183598185526	0.008187235447797526	
HYDROXYPHENYLLACTATE	-0.5353869019241503	0.009653751628197696	
ALLANTOIN	-0.32924691726242333	0.22718617073094485	
PYRUVATE	1.2132941730276967	0.0005348143307834107	
URIDINE DIPHOSPHATE GLUCOSE	-0.8303323239915082	0.1334032694923061	
PYROGLUTAMATE	3.488443011001869	0.21814345787563794	
ISOLEUCINE	-0.2656284042087915	0.18747194654539187	
SALSOLINOL-1	-1.2508317368221031	0.027375331619516403	
KYNURENINE	0.722228350740664	0.14703920627976816	
LYSINE	0.1502650912014	0.4454139410532723	
PHENYLALANINE	-0.16203974509544217	0.46637358734137047	
2-METHYLMALEATE	-0.07319588027525803	0.6243928443860151	
ETHYLMALONATE	-0.8069835241817243	0.021093868693472878	
PYRIDOXINE-1	-0.03504694709920096	0.8282845940447826	
THREONINE	-0.08588817709740831	0.6604724813243954	
LEUCINE	0.2835166670356774	0.49246801453711664	
GLYCOCHENODEOXYCHOLATE	-0.33336298994964597	0.39774450799440714	
PYRIDOXINE-2	-0.03504694709920096	0.8282845940447826	
N-ACETYLNEURAMINATE	0.15658650520430284	0.3279215411649435	
GLUTAMATE	0.035723858933641446	0.9322644933726689	
N-METHYLASPARTATE	0.03573573741522038	0.9287089500284517	
OXOPROLINE	0.48546109158435435	0.3593282003925652	
TRYPTOPHAN	-0.08634084893904682	0.7139994462551522	
HIPPURATE	-0.18450573313237925	0.6504984081673956	
XANTHINE-2	-0.22336426040377286	0.5546840130553243	
3-METHYL-2-OXOVALERATE	0.7552625425288078	0.01660574477003558	
ITACONATE	0.009337864579335957	0.9232466951911267	
N,N-DIMETHYLARGININE	0.6155053748995726	0.0833795876259089	
KETOLEUCINE	0.7244823700695957	0.018865471773391623	
2-KETOHEXANOIC	0.8600239905705445	0.008517684503305608	
CREATININE	-0.22012581436450285	0.2023908860491241	
PANTOTHENATE	0.10893437155316393	0.7504010029704736	
METHIONINE-1	-0.12029423371771193	0.505246984333894	
METHIONINE-2	-0.3193723899836058	0.31947310315997957	
TYROSINE	-0.005998740621443229	0.9649396409826381	
GLUTAMINE	-0.5178745359200093	0.012094307250041965	
BETAINE	-0.08924311127669522	0.548312506341659	
GLUTARYLCARNITINE	-0.6493860252940634	0.35025587303202116	
